stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.49,520.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76,0,0,0,0,0,0,0,0,0,0
  5-6,31.44,294.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.25,0,0,0,69.34,0,0,7.32,0,0,0,0,0,0,0,0,0
 10-12,0,5.42,0,23.41,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.92,0,0,0,22.59,0,0,0,0,8.87,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.76,0,0,6.48,0,0,0,0,0,0,0,1.79,0,0,0,0,2.29,0,0,2.99,27.06,1.42,0,2.03,0,0,28.11,0,1.82,1.74,5.72,18.27,0,0,0,0,0
 24-34,0,0,0.66,0,1.45,0,0,7.43,0,0,0,0.94,0,3.09,0,1.47,0,0,0,0,4.77,0,0,7.41,64.66,0,1.31,1.31,0,0,22.34,0,0,0,0,20.32,0,0,0,0,0
 36-46,0,0,0,0,1.07,0.89,0,20.09,0,0,0,7.61,0,0,0,0,0,1.61,0,1.37,3.83,0.59,0,4.79,68.43,0,0.83,0.59,0,0,42.65,0,0,1.16,0,15.66,0,0,1.58,0,4.22
 48-58,0,0,0,0,1.27,4.71,0,21.99,0,0.79,0,8.25,0,0.37,0,16.95,0,0,0,4.58,4.22,1.82,0,0.92,113.89,0,1.14,1.76,0,0,30.47,0,0,0,0,11.6,0,0,0.81,0,0
 60-70,0,0,0,0,1.4,0,0,61.6,0,4.14,0.67,8.19,1.68,0.97,0,0.59,0,0,0,0,9.67,3.03,0,3.4,105.57,0,0,0,0,0.96,16.11,0,0,0,0,12.28,0,0,1.17,0,0
 72-82,0,0,0.69,0,5.54,0,0,31.61,0,0.8,0,6.86,0.76,0.5,0.68,0,0,1.85,1.65,0.85,7.57,0,0,2.57,79.53,0.61,2.42,0,0,0,19.94,0,0,0,0,3.65,0.82,0,1.53,0,0
 84-94,0,0,0,0,1.35,0,0,22.18,0,0,0,6.39,2.65,0,0,1.85,0,0,0,0,13.49,0,0,1.54,89.89,0,2.19,0,0,0,39.59,0,0,0,0,0.79,0,0,0,0,0
 96-106,0,0,0,0,2.14,0,0,44.58,1.98,0,0,0.64,1.95,0,0,2.38,1.28,2.05,0,0,9.58,2.85,0.66,0,58.89,0.62,1.44,1.4,0,0,41.95,0,0,0,0,0,7.5,0,4.61,0.97,0
108-118,0,0,0.47,0,4.36,1.12,0.47,13.29,0.46,0,0,4.01,1.36,0,0.44,1.86,0.88,0.51,0,0,4.79,3.66,0.69,2.09,47.7,0,1.43,0,0,0,17.8,0,0,0.53,0,0,0,2.87,3.69,0,0
120,0,0,2.94,0,8.95,0,0,13.47,0,2.63,0,8.95,0,0,0,1.45,1.11,0,1.45,0,8.92,0,0,0,25.46,0,0,0,0,0,19.79,0,0,0,0,0,2.39,0,0,0,0
