stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.76,2846.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.23,0,0,0,0,0,0,0,0,0,0
  5-6,416.24,7831.01,0,45.1,0,0,0,0,0,0,0,0,0,40.52,0,0,0,0,0,0,0,0,0,0,0,336.38,13.98,0,0,81.39,0,130.63,0,0,0,0,0,0,0,0,0,0
  7-9,243.41,209.89,0,353.91,0,0,0,555.48,0,0,0,0,0,304.84,0,0,0,0,0,0,0,0,0,0,0,6816.82,175.16,0,0,2442.37,0,30.32,30.59,0,12.83,0,0,0,0,0,0,0
 10-12,0,154.97,0,320.67,0,48.05,0,376.77,0,0,0,0,0,76.19,0,0,0,0,0,0,0,0,0,0,0,4146.55,53.62,0,0,1311.78,0,16.87,9.82,0,262.31,11.95,0,0,0,0,0,0
 14-21,0,0,0,11.42,279.81,47.1,0,81.82,0,0,0,33.18,4.47,2.94,1.07,1.35,14.58,0,0,0,1.07,135.28,0,0,89.76,1415.91,39.09,0.85,10.1,36.71,0,34.72,0,169.52,5.48,98.07,528.72,0,0,8.35,0,0
 24-34,0,0,1.05,0.67,153.38,0.79,0,233.79,0,0.85,3.02,63.43,0,0,4.91,1.51,1.49,0,3.49,0,0,184.16,0.83,2.4,94.62,2016.51,56.9,12.95,20.2,0,0,67.05,0,4.49,2.39,10.74,516.38,0,0,38.05,0,5.27
 36-46,0,0,0,0,106.35,0,0,629.28,1.33,9.77,2.05,47.14,1.49,0,1.47,6.23,0,4.92,0.77,0,0,207.01,2.17,3.33,66.83,1813.25,31.32,19.54,6.76,0,0,39.38,0,5.45,1.46,0,448.49,0,0,28.47,0,4.59
 48-58,1.15,0,0,0,63.16,1.97,0,946.64,0.82,16.92,1.27,80.7,2.55,0,2.78,1.94,12.5,14.16,2.48,13.2,0,284.34,0.42,8.2,45.71,1107.48,21.3,10.96,13.2,0,0,18.5,0,0,0,0,166.6,0,0.42,34.03,0,11.44
 60-70,0,0,0.86,2.04,74.97,0.78,0,446.44,0,12.39,0,93.85,2.39,0,0.66,6.55,0,23.45,7.7,5.23,0,211.28,0,15.22,24.19,499.26,6.19,3.71,12.66,0,0,13.52,0,0,0,0,29.39,0,2.43,16.42,0.87,0.77
 72-82,0,0,3.45,0,51.08,27.05,0,233.1,0.91,6.42,2.03,77.96,8.34,0.59,0,17.82,1.63,28.11,2.33,2.56,0,253.32,1.66,5.64,25.96,333.75,1.72,9.85,6.12,0,2.38,4.94,0,0,6.39,0,22.49,4.07,3.19,25.49,4.52,4.44
 84-94,0,0,2.22,0,62.4,32.72,0.58,237.28,0,5.28,8.99,57.22,8.6,0,0,30.28,3.6,10.22,0.78,2.56,7.02,220.35,0.64,23.3,26.22,287.59,9.87,5.86,6.76,0,1.75,3.06,0,0,1.19,0,10.71,1.11,5.02,28.77,6.13,11.01
 96-106,0,0,0,0,62.75,84.36,0.62,128.34,0,6.43,2.71,79.28,10.41,0,11.47,46.68,3.84,11.04,2.9,5.17,0.67,204.1,2.72,14.53,24.73,163.09,0.7,5.09,13.46,0,4.77,8.45,0,0,2.62,0,17.91,0,1.26,12.94,4.65,8.58
108-118,0,0,2.69,2.84,43.29,23.6,0,178.91,0.46,12.67,7.72,67.51,6.2,0,0.63,18.13,2.52,14.17,2.45,9.99,0,219.93,0.93,13.41,19.53,367.06,1.03,10.98,11.18,0,6.61,5.91,0,0,1.78,0,14.47,0,6.64,18.7,2.26,2.57
120,0,0,0,0,30.26,24,1.71,196.55,0,7.2,2.45,90.72,6.27,0,0,46.27,3.03,1.17,0,8.18,1.6,190.39,0,7.67,21.54,333.96,11.17,3.09,2,0,0,19.56,0,0,0,0,12.74,1.1,3.38,14.06,4.26,0
