stage,glial,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord
 10-12,0,0,0,0,7.85,0
 14-21,0,1.03,0,0.94,3.86,1.94
 24-34,0,1.63,1.28,0,0,1.58
 36-46,2.29,1.23,1.02,0,0,0
 48-58,0.54,0.5,0,0,0,0
 60-70,2.06,0,0,0,0,0
