stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.07,234.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.78,0,0,0,0,0,0,0,0,0,0
  5-6,18.18,169.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,42.25,0,0,0,5.79,0,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17,0,0,0,12.56,0,0,5.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.6,1.28,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0.95,0,0,2.67,8.4,0.86,0,0,0,0,0,0.9,0.85,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,3.58,0,1.4,0,0,0,0,0,1.6,0.95,0,1.76,0,0,0.62,4.79,5.86,0.81,2.46,15.84,1.19,0,0,0,0,0,0,0,0,3.04,0.74,4.76,0,3.26,0,0
 36-46,0,0,0,0,0,0,5.44,4.54,0,0,3.81,0,0,0.84,0,0,0,0,0,5.96,7.87,0.88,7.87,64.81,0,2.04,0,0,0,2.71,0,0,0.59,1.12,0,3.82,0,2.58,0,1.36
 48-58,0,0,0,0,1.12,0,6.3,7.12,2.61,0.83,6.59,0,0,0,0,4.82,0.38,0,5.98,9.63,4.17,0.54,15.67,52.27,0.4,1.9,0,0,0,0,0,0,0,3.64,0,1.82,0,2.97,0,0.99
 60-70,0,0,0,0,4.17,0,7.22,7.47,0,1.47,21.39,0,0,0,0,0,0,0.77,2.44,18.17,1.58,2.7,11.03,27.05,0,0,0,0,0,1.55,0,0,0,5.85,0,5.67,3.01,1.87,0,0
 72-82,0,0,0,0,7.18,0,9.09,7.79,0,0.58,10.22,0.51,0.5,0,0.61,0,0,0,0,23.35,2.19,3.63,11.59,33.64,0,0,0,0,0,0,0,0,3.04,3.37,0,1.96,0.52,5.28,4.2,0
 84-94,0,0,2.22,0,0.68,0,21.58,24.03,0,0,25.57,0,1.37,0,0,0,0.63,1.71,0,17.77,2.22,1.67,0.94,45.6,0,0,0,0,1.01,0.63,0,0,0,2.01,0,2.89,2.87,8.2,3.35,0
 96-106,0,0,0,0,4.21,4.04,7.61,17.26,0,0,16.36,1.52,0,0,1.35,0,0.74,0,0,25.28,5.92,0,6.88,17.31,0,0,1.6,0,0.79,0,0,0,0,3.24,0,0,0,0.99,3.79,0
108-118,0,0,0,0,2.48,0,16.27,18.72,0,0,15.31,1.13,0,0,0.75,0,1.24,0,1.36,26.47,13.17,5.63,16.44,40.2,0,0,2.88,0,1.6,0,0,0,0,6.06,0,9.81,0,2.77,1.73,0
120,0,0,0,0,1.48,0,0,40.45,0,0,56.01,12.37,0,4.91,3.27,0,0,0,0,10.54,13.49,7.65,6.39,120.09,0,0,4.2,0,0,0,0,0,0,1.6,0,20.04,0,14.25,0,0
