stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.22,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.6,0,0,0,0,0,33.28,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,4.06,0,0,0,0,0,0,0,1.32,2.08,0,0,0,1.89,1,3.19,0,0,0
 24-34,0,0,0,1.19,0,0.84,0,0,0,1.45,0,0,2.23,0,0,1.22,0,0,2.11,0,0,0
 36-46,0,0,0,0.63,0,0,0,0,0,2.91,0,0,21.27,0,0,0,0,0,1.23,0,1.67,0
 48-58,0,7.95,0,2.36,0,0.73,0,0.45,0,0.94,1.17,0.4,4.93,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.58,0,0,0,0,0,1.96,0,1.16,0.8,0,0,1.28,0,0,0,0,0.64,0
 72-82,0,0,1.74,0,0,0,0,0,0,2.54,0,0,1.96,0,0,0,0,0,0,0,0.6,0
 84-94,0,3.05,0,0.9,1.88,0,0,0,2.32,2.13,1.19,0,7.72,1.18,0,9.79,0,0,0,0,1.75,0
 96-106,0,0,3.11,0,0,0,0,2.33,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.11,0,0.55,0.5,1.45,0,0,0,22.35,2.05,0,0.81,0,0.76,8.47,0,0,0,2.76,1.54,5.45
120,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0
