stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.76,1348.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.77,2029.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.62,14.56,0,0,25.12,0,9.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.07,71.56,0,50.8,0,0,0,150.92,0,0,0,0,0,41.24,0,0,0,0,0,0,0,0,0,0,1326.88,45.35,0,0,424.4,0,0,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.14,0,77.07,0,0,0,139.41,0,0,0,0,0,19.75,0,0,0,0,0,0,0,0,0,0,989.85,28.99,0,0,455.91,0,0,0,4.19,9.42,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,2.06,18.25,4.16,0,10.36,0,0,0,3.77,1.03,0,1.07,0,0,0,0,0,0,14.62,0,14.46,138.36,0,0,0,2.29,0,2.11,0,17.09,0.9,1.03,15.69,34.81,0,0,0,0,0
 24-34,0,0,0,4,5.34,1.95,0,30.39,0,0,0,6.96,0,0,0,0,0.89,0,1.48,0,0,18.45,0,1.33,288.47,0,6.72,2.16,0,0,5.2,0,0,0,0,1.6,65,0,0,3.9,0,1.76
 36-46,0,0,0,0,2.84,0,0,48.2,0,0,0,14.01,1.77,0,0,0.64,15.73,0,0,0,0,16.73,0,5.82,305.55,11.25,0,0.8,0,0,4.6,0,1.39,0.62,5.42,0,83.14,0,0,4.21,0,0
 48-58,0,0,0,0,10.71,0,0,116.61,2.21,0,4.32,17.46,0,0,1.54,0,0,0.86,0,0,0,44.42,0.56,6.1,310.64,0,0,7.25,0,0,1.59,0,0,0,0,0,75.35,0,0,0.5,0,0
 60-70,0,0,0.89,0,5.71,0,0,161.98,0,1.28,0,28.51,0,0,1.29,0,0,1.8,0,1.78,0,28.55,0,4.37,276.45,0,0,0.76,0,0,6.56,0,0,0,0,0,36.3,0,0.9,0.96,0,1.98
 72-82,0,0,0.5,0,3.81,1.2,0,108.78,0,1.19,0.98,20.15,1.05,0,0.55,0.53,0.56,0,0,0,0,24.67,0,1.63,155.56,0,0,5.92,0,0,0.51,0,0,0,0,0,15.13,1.01,1.57,4.92,0,0
 84-94,0,0,0,0,4.98,0,0,109.07,0,0,0.91,8.02,1.3,0.6,1.22,2,1.46,0,1.57,0,0,56.44,0,1.13,127.3,0.66,0,1.2,0,0.77,13.53,0,0,0,0,0,8.71,0,3.41,14.06,0,0.55
 96-106,0,0,0,0,2.2,0,1.05,45.37,0.79,0.59,0.8,14.68,1.73,0,1.9,2.34,0,0,0,0,0.68,19.05,4.45,2.72,61.65,0,1.93,0.67,0,0,2.3,0,0,0,0,0,7.55,0,1.15,10.1,4.32,1.21
108-118,0,0,5.71,0,5.6,1.99,0,49.34,0,1.32,0,12.3,0.81,0,0,0.86,1.73,0.42,0,4.66,1.07,17.67,0,1.54,110.35,1.13,0,2.7,0,0,3.2,0,0,0.43,0,0,7.34,0,0,0.49,1.09,1.09
120,0,0,0,0,17.46,0,0,53.83,0,2.26,0,30.12,1,0,0,4.58,1.25,0,0,0,0,26.24,0,17.02,122.56,0,5.85,1.84,0,0,0,0,0,2.27,0,0,9.21,0,0,1.14,3.44,0
