stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.32,8.61,3.73,0,4.53,0,0,0,1.3,0.85,0,0,0,0,0,0,1.26,2.25,0,0,7.82,76.23,0,0,0,2.09,0,5.87,11.32,0,44.07,23.8,25.54,0,0,0,0,0
 24-34,0,0,4.73,0,0,13.93,200.08,1.24,0,2.74,0,6.25,0,0,0,0.75,3.43,0,14.52,0,0,62.57,140.61,0,0,1.55,0,0,8.03,0,2.39,126.81,56.39,14.45,0,0,7.63,0,0
 36-46,0,0,7.46,0,0,26.44,803.85,0,0.82,8.15,0,0,1.9,0,0,0,1.24,2.86,15.18,0,0,72.53,143.92,0,1.44,3.34,0,0,13.73,0,0,257.12,0.68,51.56,0,0,2.52,0,0.85
 48-58,0,0,17.06,2.11,0,86.63,719.3,2.58,6.41,27.35,0,0,1.63,0,2.73,1.94,7.6,0,24.54,0,1.52,69.25,333.34,0.52,3.76,0,0,0,28.18,0,0.37,243.16,0,58.15,0,0,4.94,0,18.95
 60-70,0,0,28.81,3.42,0,113.48,530.2,10.15,1.85,25.86,1.79,0,0,1.02,0,1.16,0,0,24.54,0,0,49.74,210.79,0.93,0,0.62,0,0,23.47,0,0,142.14,0,28.11,2.13,0,3.02,1.25,6.31
 72-82,0,0,5.49,0.91,0,88.43,222.48,0,7.32,8.88,0.56,0,0,0,0,0,0,0,49.93,3.26,0.81,20.89,196.34,0,2.36,0.76,0,1.12,11.63,0,3.04,49,0,24.61,0,0.5,8.04,2.16,13.93
 84-94,0,1.2,15.54,28.49,2.35,72.3,246.04,8.78,4.95,6.65,1.73,0.82,0,0,0,0,10.1,0.91,50.27,0,3.85,44.23,143.54,0.61,4.81,3.89,0,0,7.07,0,0,80.93,0,8.48,0,0.71,12.9,0,0
 96-106,0,1.08,13.03,23.95,0,68.36,239.9,0,0,17.42,2.75,0,0.73,0,3.46,0,0,2.34,28.48,1.24,7.71,28.54,87.02,0.81,1.71,0,0,0,33.99,0,0,65.61,0,8.87,0,2.83,6.34,0.66,0
108-118,0,0,3.66,3.01,0,35.11,155.77,0,2.73,17.01,0,2.08,0.58,0.81,1.09,0.86,5.18,0,34.4,0,5.43,37.96,83.17,0,0.64,0,0,0,15.4,0,0,63.79,0,0,0,0.84,5.79,5.49,2.85
120,1.12,0,27.95,0,1.62,52.89,125.41,0,6.71,14.99,0,0,0,0,0,0,0,0,25.74,0,28.58,10.13,44.78,0,0,0,0,0,5.06,0,0,6.15,0,18.14,0,2.41,0,0,0
