stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,6.86,0,0,0,0,0,0,6.04,0,1.43,0,0,0,1.56,0,0,0,8.41,1.08,0,0,9.94,0,0,0,1.17,3.21,0,0,0,0
 24-34,0,0,5.14,0.94,2.11,0,0,0,0,2.51,0,4.6,0,0,0,4.52,0,0,0,15.92,0.66,0.69,0,14.2,0,0.78,0,0,7.27,0,0,2.84,0
 36-46,0,0,0,0,5.46,0,4.13,0,0,1.08,4.71,1.59,0,0,0,1.29,0.56,0,1.72,54.5,0,0,0,11.23,2.14,0,0,0,9.11,0,0,1.92,0
 48-58,0,0,2.64,0,2.09,1.09,0,0.92,0.39,1.64,4.12,0.55,1.69,0,8.58,1.03,0,0,0,80.98,0,0,0,12.23,0,0,0,0,9.39,0,0,0,0
 60-70,0,0,0,0,22.03,0,0,3.11,0,0,0,6.23,0,0,0.72,2.9,0,0,0,124.69,0,0,0,6.15,0,0,1.33,0,15.25,5.1,0,2.77,10.73
 72-82,0,0,1.09,11.04,41.45,0,0,6.87,1.26,0,0.7,0.79,0.84,0,1.95,7.13,0,0.95,0,165.16,0,0,0,12.49,0,0,0,0,14.9,4.75,0,1.6,0
 84-94,0,1.01,1.39,9.71,31.46,0,0,14.65,0,0,3.44,6.39,0,0.6,5.55,4.46,0,0,0,112.21,0,0,0,43.09,0,0.7,0,0,19.97,5.65,1.91,2.34,0.74
 96-106,2.08,0,10.35,5.25,15.55,0,0,7.01,1.18,0,3.19,4.36,0,0,4.01,5.27,5.3,0,0,137.69,0,1.99,0.91,40.81,0,0,0,0,0,0.61,0,0.87,0
108-118,0.57,0,7.66,2.87,16.74,0,0.42,6.01,2.08,0,3.37,11.83,0,0,13.63,11.4,0,0,0,112.76,0.51,0.67,0.98,29.17,0,0,0,0,2.39,7.68,0,0.87,0
120,0,0,15.37,20.35,20.87,0,0,10.17,0,0,6.05,8.25,0,0,0,13.76,1.15,0,1.93,109.94,0,0,0,21.56,0,0,0,0,3.8,4.72,0,0,0
