stage,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,somites,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,3.61,0,0,0,4.06,0,0,0
 10-12,0,0,0,0,0,0,8.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.85,0,0
 24-34,0,0,0,3.54,0,2.22,0.6,3.87,0,0,0,0,0
 36-46,0,0,0,2.22,0,0.68,0,0,0,0,0,0,0
 48-58,0,0.64,0,3.85,1.17,2.11,0,0,0,0,0,0,0
 60-70,0,0,0,3.37,0,0,0,0,0,0,0,0.71,0
 72-82,0,1.19,2.13,2.58,0,1.23,0,0,3.59,0,0,0,0
 84-94,0.7,0,0,3.08,0,0,0,0,0,0,0,0,2.71
 96-106,0,0,0,1.38,0,1.44,0,0,0,0,0,0,0
108-118,0,0,1.25,2.14,0,1.99,0,3.25,0,0,0,0,0
120,0,0,0,0,0,0,3.53,4.31,0,0,0,0,0
