stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,11.66,4.09,15.31,0,0,0,0,0,0.89,0,0,0,0,3.88,0,8.08,71.77,0.9,0,1.1,2.5,3.82,3.81,0,0,3.56,22.46,2.99,0,0
 24-34,0,10.05,0.89,16.61,0,0.62,0.72,5.64,0,1.04,4.62,0,1.01,1.09,8.99,0,5.07,121.14,3.79,0,1.14,0,9.03,0,0.65,0,0.63,17.45,37.32,0,0.6
 36-46,0,0.68,0,16.57,0,28.69,2.46,4.48,0,0,0,0.94,0.56,0.61,12.42,2.7,4.07,99.53,0.95,1.34,0,0,2.41,0,0,0,0,18.4,6.13,0,6.38
 48-58,0,1.54,0,28.62,0,0.93,0.41,9.21,0,0,0,3.66,0.47,0,12.76,1.66,2.1,83.39,3.15,0,4.54,0,2.02,0,0,0,0,21.02,17.71,0,1.63
 60-70,0,0.6,1.1,27.66,0,6.48,2.29,7.06,0,0,2.38,5.13,0.88,0,34.84,0,0,65.95,10.7,0,0,0,0,0,3.74,1.25,0,0,10.9,0,0
 72-82,0.69,0.52,1.75,26.59,0,1.43,0,5.57,0,0.9,1.97,6.8,0.63,0,38.93,0.74,2.87,24.38,0,0,0,0,0,0,0,0,0,4.98,20.47,0,2.83
 84-94,0,5.56,0,10.58,0,11.59,1.58,3.17,0,0,0.58,11.21,0,0,14.34,0,1.02,25.36,0,0,0.74,0,0,0,0,0,0,0,9.17,0,0
 96-106,0,0,3.23,24.02,0.79,1.79,0.62,4.99,1.28,2.64,0.59,14.85,0.68,0,28.67,3.87,1.16,26.65,0,0,0,0,3.71,0,0,0,0,1.91,16.25,1.16,0
108-118,0,1.72,0,16.96,0,7.65,4.28,7.37,0,0,0,16.2,0,0.55,12.93,0,0,10.96,0,0,0.83,0,1.15,0,0,0.47,0,0,10.97,0,0.6
120,0,6.62,2.01,22.65,2.11,9.14,0,3.47,1.24,0,5.43,3.96,0,1.33,22.35,0,1.83,20.07,0,1.45,0,0,2.53,0,0,0,0,0,17.77,0,0
