stage,erythrocytes,eye,gut,immune,iridophores,mesenchyme,neural,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,0.96,0,0.99,0,0,0,0.97,1.07,0,2.25,0,2.14,0.92,0
 24-34,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.5,2.99,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.83,3.12,0,0,0,0,0,1.29,0
 60-70,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0.71
 72-82,0,7.75,0,1.2,0,0,1.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.02,1.82,0,0,0,0,0,0
 96-106,0,0.73,0,0.61,0,0,4.48,0,0.81,0,0,0,0,0
108-118,0,0,0,0.93,0.74,0,0,0,0.52,0,0,0,0,0
120,0,0,0,4.94,0,0,0,0,0,0,1.83,0,0,0
