stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0
  7-9,7.67,0,0,0,0,0,15.02,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,34.62,4.51,0,0,30.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.12,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0,1.1,0,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,1148.29,0,0,0,0,0,0,0,1.38,2.53,1.15,359.43,0,0.81,0,0
 24-34,0,0,0,0,1.31,0,20.01,0,0,0,63.7,0,0,0,4.82,0,0,0.98,5.19,8.29,0,9.9,4169.1,0,2.71,0,0,0,0.73,2.32,0,4.35,1.55,1031.49,0,0,0,1.19
 36-46,0,0,0,0,0.64,0,34.68,0,0,0,150.19,0,0,0,0,0,0,0,5.06,10.2,0,5.69,5768.05,0,7.83,4.08,0,0,10.36,0,0,6.64,0,1002.85,0,0,0,15.66
 48-58,0,0,0,0,14.67,3.59,140.54,11.4,4.69,1.23,353.95,0,0,1.79,0,0.4,0,0,11.92,23.19,0,2.69,5391.73,0,1.86,0,0,0,4.38,0,1.46,0.47,0,902.46,0,3.16,0,8.68
 60-70,0,0,0.91,0,2.41,0.67,71.93,0,0,0,334.88,0,0,0,0,0,0,0,0,23.92,3.19,0,4116.18,0,0,1.23,0,1.9,7.83,0,0,0,0,597.23,1.22,0,0,17.36
 72-82,0,0,0,0.56,23.43,4.12,198.62,1.11,0,2.35,357.61,0,0,1.12,0.54,0,0.57,1.84,2.47,21.36,2.9,0.77,3552.45,0,2.01,0.52,0,0,6.23,0,0.97,0,0,358.49,0,0.66,0.53,4.32
 84-94,0,0,1.01,0,9.35,0,130.16,0,0,1.18,214.52,2.95,0,1.27,0,0.93,0,0,0,23.31,1.32,0,1804.25,0,3.58,0.69,0,0,8.17,0,0,0,0,203.17,2.36,0.97,0,0
 96-106,0,0,0.61,1.03,11.76,14.43,86.2,0,0,0,286.16,1.5,0,0.58,1.24,0,0,1.95,8.84,31.48,0,3.3,1588.38,0,0.93,0,0,0,4.5,0,0,0,0,118.52,2.03,0.73,1.17,3
108-118,0,0,0.41,0,22.3,4.44,75.57,0.76,0,1.28,364.34,0.58,0,0,3.9,0,6.94,0,1.24,17.47,1.67,4.52,2098.97,0,0.42,0,0,0,0,0,0,0,0,63.91,0,2.43,0,0
120,1.19,0,0,0,12.24,0,110.89,0,2.35,0,355.12,0,0,0,0,0,0,0,16.78,12.13,0,4.47,2313.29,0,0,1.86,0,0,1.57,0,0,0,0,56.91,0,2.66,0,0
