stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.28,0,0,0,100.17,0,0,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,4.72,0,0,2.9,0,0,0,146.73,0,0,0,0,0,0,0,0,0,7.3,0,0,0,109.34,1.55,6.31,10.7,7.91,0,0,17.48,75.12,0,0,374.17,0,0,0,0,0
 24-34,0,0.61,0,0.61,0,0,4.35,0,0,0,201.57,0.92,0,0,0,1.13,0,0.91,0,0,6.29,0,0,0,205.24,2.1,43.99,7.02,0,0,0,0,83.5,0.62,3.09,341.59,0,0,0,0,0
 36-46,0,0,0,1.21,0,0,2.4,0,0,0,179.62,0,0,0,0,0,0,0,0,0,0,1.19,0,0,185.27,0,53.65,4.78,0,2.85,0,0,39.18,0,0,321.48,0,0,0,0,0
 48-58,0,0,0,0.4,0,0,25.45,1.02,0,0,174.46,0,0,0,0,0,0,3.8,0,1.2,6.1,0,0,0.38,150.56,0,38.92,16.36,0,0,0,0,7.69,0,0,286.06,0,0,0,0,0
 60-70,0,0,0,0,0,0,7.68,1.1,0.63,0.9,205.21,0,0,0,3.06,0,0,3.8,0,0,1.46,0,0,0,193.73,0,62.76,28.71,0,0,2.57,0,11.94,0,0,174.52,0,0.9,0,0,0
 72-82,0,0,0,1.34,0,0,32.83,0,0,1,233.6,2.26,0,1.28,0,0,4.27,9.99,0,1.95,3.73,0,0,0,209.5,2.6,79.07,30.43,0,0,0.51,0,5.76,0,0,105.23,0,0,0,0,0
 84-94,0,0,0.59,5.2,0,0,20.43,0,0,0,218.53,0.66,0,0,1.75,0,0,9.66,0,0,5.91,0,1.32,0,84.93,0,92.19,40.23,0,0.83,6.58,0,5.29,0.55,0,137.65,0,0,0,0,0
 96-106,0,3.19,0,1.23,7.54,0,20.95,0,0,0,185.26,1.06,0,0,1.82,0,0,30.28,0,0,12.71,1.15,0,0,118.75,0,93.25,59.22,0,0,5.16,0,9.59,0,0,107.75,0,1.22,1.91,0,0
108-118,0,0.54,2.54,8.16,0,0.66,23.81,0,0,0,207.38,0.73,0,0,1.02,0,0,21.5,0.69,1.67,7.76,0,0,0.5,143.08,0,83.61,55.8,0,0,0.98,0,8.17,1.33,0,78.3,1.17,0,1.57,1.79,7.04
120,0,0,3.17,0,0,0,19.67,0,0,0,142.38,3.59,0,0,2.3,0,1.01,20.29,0,0,7.12,0,0,0,281.17,0,60.04,85.54,0,0,7.3,0,5.92,0,0,41.93,0,0,0,0,0
