stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,68.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,0,0,20.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,73.16,0,0,12.79,3.1,0,0,0,0,0,0,0
 14-21,0,0,2.15,2.1,0,1.83,1.29,0,0,0,0,0,0,3.69,0,0,6.02,54.96,0,1.75,0,0,3.41,0,1.01,16.08,0,0,0
 24-34,0,0,0,7.32,0,0.96,0,0,0,0,0,0,0,9.63,0.84,0,3.37,208.23,0.69,0,0,0,0,0,0,50.87,0,6.48,0
 36-46,0,0,0.58,51.75,0,7.54,0,0,0,0,3.61,0,0,13.94,0,0.55,3.45,263.96,1.8,1.89,0,0,0,0,0,49.39,0.85,0.97,0
 48-58,0,0,0,55.64,0,6.43,0,0,0,0,0,0.39,0,19.6,0,0,2.86,189.87,0,0,0,0.4,0,0.45,0,34.45,0,0.84,0
 60-70,0,0,0,67.72,0,6.17,0,0,0,0,0,0,0,14.61,0,0,1.19,146.17,0,0,0,0,0,0,0,16.14,0,0,0
 72-82,0,0,0,81.7,3.01,8.96,0,0,0,0,0.9,0.72,0,15.37,0,0,1.48,134.12,0,0,0,0,0,0,0,12.72,0,0.84,0
 84-94,0,0.81,2.06,37.99,0,7.89,0,0,4.01,0,0.62,0,0,6.16,0,0,1.99,88,0,1.24,0,0,0,0,0,13.79,0,1.22,0
 96-106,0,0,0.63,35.44,0.59,8.05,0,1,0.88,0,1.02,0,1.38,23.66,0,1.76,1.84,59.09,0,0,0,0,0,0,0,6.06,2.94,0.88,1.5
108-118,0,0,0,29.57,0.99,6.43,0,0,0,0.47,0,0,0,12.02,0,1.46,0.48,90.8,0,0,0,0,0,0,0,10.16,2.04,0.54,0.44
120,0,0,0,4.37,0,11,0,0,0,0,0,0,0,34.77,0,0,0,62.21,0,0,0,0,0,0,0,0,0,0,0
