stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,21.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0
 10-12,0,6.89,0,0,0,0,0,0,4.67,0,0,3.22,0,10.82,0,0,0
 14-21,0,0,0,0,0,0.82,0,0,4.51,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.02,0,0,0,1.19,0,0,0.7,0,0.74,0,0
 36-46,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.51,0,0,1.02,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.88,0,0,0,0,2.11,0,0.87,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.42,0,3.04,0,0,0,0,1.21,0
 84-94,0,0,0,0,0,2.21,0,0,4.58,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,2.3,0,0,0,0,1.19,0,0,0,0,0,0
108-118,0,0,1.99,0,0,0,0.74,0,1.69,0,0,0,0,0,0,0,0
120,0,0,2.42,2.33,2.35,0,1.38,1.27,0,0,0,0,0,0,0,0,0
