stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord
  3-4,0,32.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,15.34,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,24.85,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.45,0,0,0,15.94,0,0,0,10.88,5.34,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.12,0,0,0,44.47,0,0,0,25.23,0,3.03,0,0
 14-21,0,0,1.04,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,0,0.83,0,0,0,0,7.4,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.15,0,0,9.05,0,0,0,0,15.47,0,0,0
 48-58,0,0,0,0,0,0,0,0.41,0,1.95,0,0,0,0,0,0,0,9.27,0,1.45,0.57
 60-70,0,0,0,0,1.61,1.03,0,0,0,4.15,0,2.01,1.36,0,0,0,0,4.75,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.89,0,1.32,0.66,0,1.29,0,0,3.08,0,0,0
 84-94,0,0,0,2.86,0,0,0,0,0,5.64,0.92,1.59,2.53,0,0,0,0,17.6,0,0,0
 96-106,0,0,0,0,0,0,0,0.62,0,2.94,0,0,0,0,0,0.67,0,7.49,0,6.18,0
108-118,0,0,0,0,0,1.33,2.46,1.58,0,5.45,0,0,0,0,0,0,0,18.06,0,0,0
120,0,0,3.15,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,15.69,0,0,0
