stage,eye,muscle,neural,periderm,spinal_cord,xanthophores
 24-34,0.89,0,0.6,0.73,1.76,0
 36-46,0,0,1.89,0,0,0
 48-58,0.7,0,3.34,0,0,3.63
 60-70,0,2.76,0,0,0,0
