stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,10.32,42.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0
 14-21,0,0,1,0,0,0,0,0,0.96,1.61,0,0,0,0,0
 24-34,0,0,0,0.69,0,0.64,0,0,0,3.54,0.65,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.39,0,16.27,0,0,0.48,0.61,0.61
 60-70,0,0,0,0,0,0,1.92,0,0,21.18,0,0,1.86,4.86,0
 72-82,0,0,0,0,1.27,1.29,0,0,1.56,16.32,0,0,0,0,0
 84-94,0,0,0,0,0.85,0,0,0,0,22.25,0,0,0,0,0
 96-106,0,0,0,0,7.54,0,0,0,0,6.64,0,0,0,0,0
108-118,0,0,0,0,1.44,0,0,0,1.06,13.89,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0
