stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,11.31,0,0,0,0,12.2,1.65,0
 24-34,0,0.65,0,0,1.7,0,0,0,0,0.79,0,0,0,0,91.28,0,0.76,0,0,16.23,0,0
 36-46,0,0,0,0,2.17,0,0,0,0,0,0.58,0,0,0,235.25,0,2.75,0.61,0,38.67,0,0
 48-58,0,0,0,0,21.87,0,1.93,0,0,0,1.02,0,0,0,372.47,0,3.54,0,0.83,51.4,0,0
 60-70,0,0,0,0,76.71,0,1.26,0,4.25,0,8.94,0,0,0,536.24,0,0.7,0,1.25,31.2,0,0
 72-82,0,0,0.65,6.2,107.44,0,10.75,0.66,0,0,3.78,0,0,1.23,640.22,0.58,0,0,0,47.16,0,0
 84-94,0,0,0,0,72.06,0,5.18,0,0,1.55,18.47,0,0,0.77,418.38,0,1.1,0,0.76,22.22,0,0
 96-106,0,0,5.01,0,82.16,0,7.05,0,0,0,0.96,0,0.59,0,365.01,0,1.79,0,4.92,15.84,3.15,0
108-118,0,0.71,1.37,2.39,82.55,0.73,8.41,0,0,0,6.04,0,0,0,506,0,1.19,0,6.93,13.41,1.78,1.03
120,0,0,8.3,0,109.59,18.66,35.53,0,0,5.61,11.25,1.49,0,2.35,870.2,0,0,0,0,47.83,0,0
