stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.58,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.17,51.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.52,0,0,0,8.42,0,0,0,0,13.95,0,0,0,0,0,0,0,0,47.37,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,48.53,0,0,0,14.33,0,0,0,0,22.55,0,0,0,0,0,0,0,0,79.81,4.45,0,0,17.87,0,0,0,12.06,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,11.59,7.13,0,1.1,0,0,1.92,0.94,0,1.5,0,0,0,50.86,0,0,13.93,61.55,2.21,0,0,2.99,0,0,6.18,0,0,3.99,26.39,0,0,0,0,0
 24-34,0,0,0.84,0,8.81,0,0,5.44,0.61,0,1.74,0.89,0,0,0,0,0,28.48,0,0,3.25,147.92,0,2.32,0,0,0,0,0,3.53,0,3.79,43.77,0,0,11.18,0,0
 36-46,0,0,0,0,1.21,0,0,34.03,0,0.87,9.31,0,0,0.69,0,0,1.74,31.54,0,2.71,6.08,336.04,0,1.95,0,0,0,1.71,0,0,0,0,66.66,0,0,0,0,0
 48-58,0,0,0,0,0.48,0,0,95.61,2.28,4.84,21.36,0,0.49,1.68,0,3.99,0,55.57,0,0.63,5.98,365.98,2.22,0,0,0,0.47,5.03,0,0,0,0,84.54,0,0,1.61,0,0
 60-70,0,0,0,0,9.64,1.88,0,243.97,0.99,0,5.95,0,0,1.27,0,0,0,113.59,0,1.29,3.14,437.49,0,1.57,6.8,0,0,0,0,0,0,0,75.59,0,2.41,1.55,4.01,6.64
 72-82,0,0,0.62,0,6.86,8.49,0,209.92,0,1.13,10.79,4.74,0,0,0,0,0.49,150.52,0,4.75,2.34,371.71,0.66,0,0,0,0,0,0,2.09,0,0,59.54,0,0,2.86,0.53,0
 84-94,0,0,1.29,0,2.02,10.67,0.58,261.92,0,0.83,9.16,1.94,0,1.5,0,0.83,0,148.99,0.89,0.87,0.88,240.36,0.67,0,0,0,2.65,1.72,0,1.26,10.23,0,31.36,0,3.13,13.42,2.42,0
 96-106,0,0,0,0,3.59,8.65,0,229.33,0,2.64,15.44,0.7,0,3.89,0.72,0.99,0,126.1,4.41,0.66,0.92,265.66,1.39,0.69,0,0,0,0,0,0,0,0,17.77,2.03,3.81,4.03,2.3,0
108-118,3.02,0,0,0,1.07,5.4,0,134.64,0,2.93,6.48,0,0,2.3,0,0,0,91.51,5.36,0.66,4.82,313.4,3.88,1.91,0.78,0,0,0.97,0,0,0,0,25.79,0,0,2.72,0,1.02
120,0,0,0,0,0,5.99,0,89.61,0,1.44,15.42,0,0,0,0,0,0,68.2,0,10.71,0,349.85,6.74,0,0,0,2.03,0,0,0,0,0,16.36,0,0,11.7,0,0
