stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.03,355.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.58,402.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.23,0,9.25,0,0,0,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.87,19.88,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.46,15.27,0,0,49.41,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.72,22.08,0.93,0,0,0,0,0,4.7,4.59,0,0,0,0,0,0,0,13.24,0,9.55,49.92,8.04,0,0.84,1.19,0,0,3.6,6.91,0,5.97,28.87,0,0,1.23,0,0
 24-34,0,0,0,2.98,27.59,0.6,0,12.45,0,2.58,0.76,5.88,1.48,0,0,0,0,1.72,6.81,0.62,97.77,0.89,44.3,263.96,16.55,0,5.4,0,0,0.75,0,35.76,0,4.75,79.63,0,0,11.18,0,0.63
 36-46,0,0,0,1.52,16.22,0,0,12.9,9.06,0.62,3.89,12.74,2.81,1.77,0,0,16.46,0,1.14,1.99,153.99,2.43,26.84,146.13,16.84,1.3,4.99,0,0,0,0,18.28,0,2.19,66.08,0,0,7.73,0,4.59
 48-58,0,0,0,0,7.57,0,0,22.08,9.32,0,8.78,54.8,3.42,0.94,0,0,0,0.45,15.63,1.05,161.63,4.82,31.29,61.15,21.85,0,3.34,0,0,0.71,0,9.31,0,0,42.1,0,1.25,7.49,0,13.61
 60-70,0,0,0,0,10.85,0,0,33.46,10.26,2.72,24.88,171.47,12.11,0.66,2.37,0,4.76,0,11.06,0,239.31,8.8,27.14,57.61,20,0,7.14,0,2.49,0,0,7.5,1.84,0,28.11,0,3.96,1.97,0,0
 72-82,0,0,0.61,0,10.67,2.39,0,58.11,20.95,6.52,21.63,304.19,33.21,1.42,0,0,5.58,0,38.74,0,431.01,1.72,28.22,60.67,4.38,0,14.41,0,2.12,1.64,0,14.87,0,0,16.45,1.37,3.1,4.43,2.27,0.82
 84-94,0,0,8.85,0,15.87,0,0.76,53.63,8.29,10.27,22.28,291.54,60.78,2.04,0,0,3.19,4.56,45.86,0.58,298.51,6.89,18.99,50.96,10.49,0,22.03,0,0,0,0,26.9,0,0,5.66,3.28,3.44,8.53,1.57,1.56
 96-106,0,0,3.46,0,20.27,23.01,0,108.23,1.64,1.24,19.15,471.59,41.56,1.93,0.84,0.92,7.34,0.57,176.74,1.83,452.99,11.11,16,91.93,4.56,0,13.56,0,4.14,6.33,0,27.7,0,0,19.49,0,4.51,3.41,6.74,11.45
108-118,0,0,2.92,0,17,0,0,61.74,0.54,4.51,18.96,434.81,36.83,1.9,0,0.55,12.2,0,383.53,0.68,519.1,10.1,20.2,122.73,12.07,0,15.26,0,1.49,4.85,0,16.9,0,0,5.99,0.5,4.88,5.01,3.4,0
120,0,0,1.22,0,7.72,0,0,41.6,0,1.49,43.92,440.35,33.68,6.95,1.42,0,10.65,0,171.63,1.51,335.04,8.68,8.42,142.28,26.05,0,11.62,0,0,8.75,0,9.83,0,0,2.96,0,5.65,0,4.51,0
