stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,50.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,120.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,31.11,0,0,0,0,0,76.97,0,32.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,18.82,0,0,0,0,0,19.73,3.71,28.1,0,0,0,0,0,0,0
 14-21,0,0,2.38,8.1,2.6,0,0,0,1.16,10.78,32.85,1.18,2.64,6.64,3.8,1.76,14.93,2.3,0,0
 24-34,0,0,0,0,0,0,0,0,3.88,3.94,4.7,0,0,2.49,0,0,0,5.54,0,3.66
 36-46,0,0,0.86,0.57,0,0,0,0,0,0,0.88,0,0,1.44,0,0,0,1.33,0,0
 48-58,0,0,0,0,1.34,3.82,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,9.72,0,0,0,1.77,0,8.32,0,0,0,0,0,0,0,0.69,0
 72-82,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.62,0,0,0,0,0,4.53,0,0,0,0,0,0,2.11,0,0
108-118,0,0,0,0,5.43,0,0,1.5,0,0,0,0,0,0.89,0,0,0,0,0,0
120,0,0,0,15.63,1.51,0,1.7,0,11.71,0,1.73,0,0,0,0,0,0,0,0,0
