stage,eye,ionocyte,mesenchyme,neural,periderm
 10-12,0,0,0,9.52,0
 14-21,0,0,0,5.64,0
 36-46,0,0,0,0.66,0
 60-70,0,1.69,0,6.43,0
 72-82,1.94,0,1.32,3.73,0
 84-94,1.21,0,1.87,3.51,0
 96-106,0,0,0,7.08,0
120,0,5.64,0,0,3.22
