stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.89,72.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.84,0,0,0,0,0,5.21,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,45.41,0,0,0,22.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.69,0,0,0,46.26,3.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.55,0,0,0,0,0,0,0,0,2.8,0,0,0,0,3.08,0,0,1.44,4.44,0.9,0,0,0,81.91,0,2.8,0,0,0,0,0,0
 24-34,0,0,0,0,1.11,0,0,1.08,0,0,0,0,0,2.14,0,0,0,0,4.33,0,0,2.3,51.25,0.67,1.06,0,0,487.61,0,0,5.44,0,0,1.37,0,0
 36-46,0,0,0,0,3.97,0,0,7.12,0,6.41,0,1.97,0,0,0,0,0,0,3.72,4.91,0,0.78,112.17,0,0.66,1,0,784.94,0,0,12.83,0,0,0,0,0
 48-58,0,0,0,0,2.41,0,0,22.41,0,9.46,0,2.54,0.44,0,0,0,0,0,14.47,2.38,0.44,0.83,95.96,0,0.88,0,0,1045.97,0,0,12.78,0,0.89,2.44,0,0
 60-70,0,0,0,0,4.74,0,0,33.56,0,10.14,0,0.75,0,0,0,1.4,0.7,0,6.29,3.38,0,0,71.35,0,0,0,0,749.53,0,0,10.53,0,0,0.58,0,0
 72-82,0,0,0,0,4.73,0.58,0,19.36,0,17.04,0,5.63,0,0,0,2.79,3.06,0,13.62,1.81,0.94,0,64.53,0,0,2.25,0,684.86,0,0,2.81,0,0,2.95,0,2.33
 84-94,0,0,1.05,0,6.76,4.99,0,12.25,0,12.93,0.83,0,0,0,0,1.8,1.38,0,11.45,9.01,0,0,26.8,0,1.11,0.86,0,1196.71,0,0,0,0,0,0.91,0,0
 96-106,0,0,0,0,9.53,10.13,0,15.64,0.76,12.34,1.65,1.47,0.85,0,0.68,10.22,0,4.02,11.45,11.77,0,0.56,54.25,0,0,0,0,1408.9,3.39,0,0,3.18,0,0.69,0,0
108-118,0,0,0,0,20.44,0,0.5,10.22,0,9.91,0.94,6.81,0,0,0,5.19,0,0,11.1,10.11,0,0,52.89,0,1.06,0,0,886.86,0,0,0,0,0,0,0.65,0
120,0,0,0,1.66,5.57,0,0,5.15,0,10.52,0,26.55,0,0,2.03,5.27,0,0,2.22,3.25,0,0,19.05,0,0,0,0,489.97,0,0,0,0,0,0,0,0
