stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06,0,0,0,0,0,0
  5-6,76.32,293.75,98.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.23,0,0,8.01,0,0,0,0,0,0
  7-9,0,5.39,6477.86,0,0,0,0,0,0,0,0,0,53.9,0,0,0,0,0,0,3133.49,22.65,19.33,0,4.77,0,0,0,0,0
 10-12,0,8.6,1618.02,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,1164.38,12.48,25.36,0,0,0,30.19,0,0,0
 14-21,0,0,1.81,5.78,17.45,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,9.88,0,0,0,0,1.06,0,0,0.83,1.06
 24-34,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,8.62,0,0,0,0,0,0,0.65,3.29,12.67
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,8.43,0,0,0,0,0,0,0,0,14.6
 48-58,0,0,0,0,1.3,0,0,0,0,0,1.38,0,0,0.93,1.59,0,1.03,0,0,1.07,0,0,0,0,0,0,0,0.61,9.06
 60-70,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,15.02,0,0,0,0,0,0,0,2.71,14.67
 72-82,0,0,0,0,1.96,0,3.62,0,0,0,0,0,0,0,0.65,0,0.81,0.75,0,4.99,0,0,3.36,0,0,0,0,0,48.64
 84-94,0,0,0,0,0,0,0.6,0,0,0,2.02,0,0,0,0,0,1.23,0,0.68,8.23,0,0,0.98,0,0,1.35,0,0,46.65
 96-106,0,0,1.5,0,2.22,0,0,1.19,0,0,0,0.77,0,1.64,0,0,1.83,0,0,11.21,0,0,0,0,0,0,0,0,41.12
108-118,0,0,0.69,0,0,0.5,0,0,0.51,0,0,0,0,0,0,0.6,2.21,0.77,0,8.26,0,0,0,0,0,0,0,0,21.78
120,0,0,1.91,1.16,0,0,8.16,0,0,0,10.35,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,62.21
