stage,blastomeres,erythrocytes,eye,glial,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,pgc,somites,spinal_cord
  3-4,68.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.41,0,0,0,11.6,0,0,0,0,43.07,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,46.67,17.67,7.8,0,0
 10-12,0,6.65,11.26,0,0,0,0,0,0,47.97,3.39,0,0,0
 14-21,0,0,1.32,0,0,0,0,0,0,3.52,0,0,0.8,0
 24-34,0,0,0.66,2.25,0,0,0,0,2.27,10.82,0,0,0,1.47
 36-46,0,0,0,0,0,0,11.79,0,0.73,1.91,0,0,0,1.22
 48-58,0,0,3.13,1,0,0,0,0.96,0.77,5.12,0,0,0,1.71
 60-70,0,0,1.51,1.34,0,0,0,0,0,1.31,0,0,0,0.67
 72-82,0,0,1.39,0.69,0,0,0,0.82,0,1.11,0,0,0,0
 84-94,0,0,1.3,0,0,0,0,1.08,0,1.77,0,0,0,0
 96-106,0,0,0.75,0.97,0,0,0,3.66,0.67,1.05,0,0,0,0
108-118,0,0,0,1.24,0,2.19,0,0,0,0.74,0,0,0,0
120,0,0,0,0,0,0,0,12.48,0,0,0,0,0,0
