stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,78.56,2228.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.64,0,0,0,0,0,0,0,0
  5-6,77.45,905.73,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,69.71,0,0,0,0,7.63,0,0,0,0,0,0,0,0
  7-9,22.71,49.55,0,18.9,0,0,110.48,0,0,0,0,17.63,0,0,0,0,0,0,0,0,0,0,990.86,14.52,0,0,304.66,0,37.6,0,0,0,0,0,0,0
 10-12,0,44.5,0,36.9,0,20.3,132.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.48,18.63,0,0,249.86,6.22,16.55,0,63.6,0,0,0,0,0
 14-21,0,0,0,0.95,17.28,6.69,7.5,0.88,0,13.64,2.05,0,0,0,0,0,0,0,20.65,0,0,5.18,260.05,0,2.39,4.4,25.36,10.11,3,6.2,6.56,9.72,114.83,0,1.04,0
 24-34,0,0,1.76,0,3.31,4.05,60.97,0,0,14.54,1.22,0,1.87,0,0.79,0,0,0.76,44.93,0,0,19.6,510.56,0,4.43,3.64,0,4.51,0,0,5.52,2.13,105.05,0,7.54,2.98
 36-46,0,0,0,0,2.61,1.29,95.55,0,0,11.7,0,0,0,0,0,0,1,0,31.98,0,0,7.95,283.3,0.66,3.87,0.58,0,12.28,0,0,2,0,81.83,0,1.76,1.44
 48-58,0,0,0,0,2.86,3.65,84.94,0,0.85,17.71,0,0,0.4,0,0,2.52,0,3.02,25.87,0.52,1.11,7.99,112.04,0,3.94,0.41,0,0.48,0,0,0,0,19.6,0,4.65,0
 60-70,0.81,0,0,0,5.9,0,42.87,0,0,4.52,2.23,0,0,0.61,0,0,0,2.11,20.23,0,2.77,5.63,62.37,0,2.12,6.69,0,7.49,0,0,0,0,5.41,0,0,0
 72-82,0,0,0.71,0,6.97,0,14.06,0,0,7.33,0,0,0.7,1.12,0,0.75,0,0,15.88,0,0.67,4.06,35.55,0,16.5,0.51,0,10.41,0,0,0.57,0,4.06,0,1.63,0
 84-94,0,0,0,1.01,7.34,0,34.38,0,0.6,7.56,3.21,0,0,1.29,0,2.52,0,0,17.61,0,0.85,1.91,31.28,0,1.41,4.51,0,0,0,0,0.56,0,5.54,0,0.61,0
 96-106,0,0,2.28,0,1.56,1.56,22.39,0,0,4.14,0.6,0,0,1.16,1.06,0,0,0,11.58,0,0,3.99,19.09,0,6.21,3.87,0,0,0,0,0,0,3.41,0,4.01,0
108-118,0,0,1.21,0.74,2.02,1.87,27.65,0,0,9.66,1.7,0,0,1.24,0,3.42,0,0,14.41,0,1.04,3.06,45.99,0,2.18,4.06,0,0.49,0,0,0,0,9.3,1.48,3.85,2.03
120,0,0,0,0,3.27,1.32,21.42,0,0,6.43,0,0,0,0,2.26,0,0,0,17.68,0,0,5.29,44.43,0,0,0,0,0,0,0,4.05,0,1.17,0,0,0
