stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.35,0,0,0,0,0,0,0,0,5.26,0,0,0,3.03,0,0,0
 24-34,0.83,1.82,1.53,0,0.9,0,2.56,0,0,0,0,0,0.85,8.7,0,0,0,1.69,1.31,0,5.8
 36-46,0,0,12.33,0,0,0,0,0,0,0,2.45,2.67,2.23,38.09,0,0,0,3.98,4.42,0,2.41
 48-58,0,0,12.49,0,1.26,0,0.5,0,0,0,0,0.38,0.44,25.11,0.5,0,0,2.51,1.76,0,4.21
 60-70,0,0,5.37,0,0.8,0,0,0,0,0,0,2.25,0.68,4.78,0,0,0,0,0.73,0,13.04
 72-82,0,0,1.71,0,0,0.61,0,0.66,0,0.57,0,1.89,0,8.11,0,0,0,0,1.4,0,1.88
 84-94,0,0,9.14,0,0,0,0,0,0,5.26,0,5.61,0,29.17,0,0,0.9,0,0,0,9.31
 96-106,0,0,0.68,0.58,0,1.73,0,0,0,0,0,1.6,0,2.84,0,0,1.06,0,3.21,0,6.96
108-118,0,0.47,2.91,0,1.47,0,0,2.18,0.46,6.65,0,0,0,1.49,0,0.55,1.54,0,5.42,0.42,0
120,0,1.14,0,0,0,0,0,0,0,1.09,0,0,0,3.2,0,0,0,0,4.08,0,1.74
