stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,61.34,1333.95,0,0,0,0,0,0,0,0,22.19,0,0,0
  5-6,57.27,378.51,0,0,0,0,0,0,23.33,0,16.38,0,0,0
  7-9,0,6.25,0,0,0,0,0,0,59.94,13.23,0,16,0,0
 10-12,0,0,0,0,0,0,0,0,7.31,9.62,0,0,0,0
 14-21,0,0,0,0,0,0,0,5.19,3.09,0,0,0,0.83,0
 24-34,0,0,0,0.71,0,0,0,0,4.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 48-58,0,0,0.37,0,0,0,0,0,3,0,0,0,0,2.63
 60-70,0,0,0,0,0,0,0,0,0.75,0,1.92,0,0,0
 72-82,0,0,0,0,0,0,0.7,0,1.41,0,0,0,0,0
 96-106,0,0,0,0,0,0.72,0,0,5.88,0,0.98,0,0,0
108-118,0,0,0,0,0.97,0,4.83,0,0,0,0,0,0,0
