stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,3268.09,80785.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4390.65,0,0,0,0,0,0,0,0
  5-6,5209.78,69988.84,72.4,0,0,0,0,0,0,1641.28,0,0,0,0,0,0,0,0,0,0,1290.09,49.85,0,0,89.33,0,1578.33,0,0,0,0,0,0,0,0
  7-9,2258.62,2405.13,2633.74,0,27.82,20888.32,0,0,0,12748.62,0,0,0,0,0,0,0,0,0,0,67149.11,394.54,0,0,1901.54,0,118.99,122.56,0,0,0,0,0,0,0
 10-12,19.33,719.9,806.05,0,48.23,16216.38,0,0,0,1780.69,0,0,0,0,0,0,0,0,0,3.87,34833.87,120.47,0,0,811.95,0,58.68,27.83,4.43,54.87,0,35.28,0,0,0
 14-21,0,0,8,1441.21,12.04,421.46,0,4.99,10.58,7.79,4.34,0,16.66,0,0,16.33,286.27,0,0,794.65,1009.22,6.71,5.05,6.52,3.04,0,73.84,0,81,5.64,309.94,722.09,75.27,13.8,0
 24-34,1.76,1.67,5.97,245.99,5.17,173.1,0,1.53,3.55,0,7.1,0,0,0,13.24,1.67,182.76,1.69,0,222.82,211.07,0,16.19,58.29,0,5.72,5.96,0,0.97,3.13,132.98,9.14,56.57,71.38,0
 36-46,0,0,0,31.33,3.49,300.33,0.73,0.64,1.55,0,3.87,13.01,0,0,10.6,0.94,66.39,0,5.24,28.13,113.73,0,4.26,36.1,0,0,0,0,0,0,19.89,0,11.77,25.97,0
 48-58,0,0,0,3.41,3.37,344.07,0,4.65,0.45,0,3.81,0,0,0,7.6,5.37,52.5,0,1.37,16.93,103.19,0,1.97,45.95,0,0,0,0,0,0,4.14,0,6.19,14.61,1.19
 60-70,0,0,0,4.88,0,225.33,1.86,7.4,4.03,0,0,0,0,0,9.73,1.37,26.55,0,0.7,7.57,31.71,0,1.08,32.48,0,0,0,0,0,0,0,0,5.32,8.56,11.22
 72-82,0,0,0,0,0,72.96,0,8.64,1.57,0,0,0,0,0,7.15,1.07,25.8,0,0,3.46,14.31,0,4.32,100.58,0,0,0,0,0,0,0,0,3.77,20.33,0
 84-94,0,0,0,1.02,2.06,43.33,0,4.74,1.42,0,0,0,0,3.43,10.46,0,10.48,0,0,0,12.19,0,13.05,152.47,0,0,0,0,0,1.73,0,0,4.24,15.07,0
 96-106,0,0,0,2.33,5.98,24.99,0,5.84,3.04,0,0,0,0,1.03,30.12,0,22.04,0,0,1.7,23.86,0,22.87,186.11,0,0,4.68,0,0,1.86,0,0,0,34.05,0
108-118,0,0,0,0.61,0,45.26,0,6.19,1.1,0,0,0,0,0,11.16,3.24,34.01,0,2.14,0.47,19.93,0,17.85,129,0,0,0.53,0,0,1.58,0,0,0,27.8,3.91
120,0,0,0,0,0,23.51,0,0,2.12,0,0,1.47,2.21,1.05,9.24,0,8.18,0,2.35,2.81,19.85,0,14.43,148.41,0,0,0,0,0,1.74,0,0,0,47.18,0
