stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,191.66,351.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0
  5-6,448.57,1120.45,0,0,0,0,0,0,0,0,0,65.46,0,0,0,0,0,0,0,0,0,171.09,40.6,0,0,40.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,245.22,29.12,5.32,0,0,18.9,0,0,0,0,0,11.67,0,0,0,0,0,0,0,0,0,242.4,369.93,0,0,525.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.65,0,0,0,33.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.73,293.98,0,0,184.58,0,0,0,17.7,0,0,6.57,0,0,0,0
 14-21,0,0,0,24.62,4,2.4,0,0,0,32.75,1.06,0,0,0,0.87,0,0,0,3.24,0,0,240.27,86.14,0,0,13.79,0,0,4.53,2.15,0,11.01,352.17,0,1.6,0,0
 24-34,0,0,0,3.96,0,28.03,0,0,3.39,80.99,0.67,0,0,0.7,0,0,1.3,0,11.61,0,4.93,1785.88,37.38,0.63,51.26,0,0,3.49,0,1.77,0,9.72,878.59,0,0.87,0,0
 36-46,0,0,0,1.37,0,45.31,0,8.76,0.93,364.09,0,0,0,3.61,0,0,0,6.13,12.01,0,4.65,2100.99,36.26,1.29,53.36,0,0,9.3,0,0,0,0,1102.4,0.62,0,0,3.36
 48-58,0,1.29,0,6.99,0,226.34,10.23,0.38,4.72,740.15,0,0,11.37,0.38,0,0,0,1.38,18.74,0,3.35,1489.16,1.12,0.78,72.02,0,0,1.7,0,2.74,0,0,856.23,0,0.96,0,3.39
 60-70,0,0,0,1.56,0,214.69,1.37,1.18,0,635.36,1.6,0,17.2,0,0,0,0,0,21.65,7.24,0.69,754.85,0,0,62.59,0,0,10.57,0,0,0,0,375.45,0,0,0.89,8.29
 72-82,0,0,0,13.16,0.51,162.83,0.8,0,6.73,658.21,0,0,4.53,0,0,0,0,0.57,32.99,0,1.89,434.43,0,0,133.94,0,1.42,0,0,0,3.03,0,204.41,0,0.71,1.92,0
 84-94,5.55,0,0,0,0,151.4,0.55,0,9.17,510.94,0,0,3.27,0,2.58,1.35,0,6.3,22.07,0,3.28,374,0,0,149.16,0,0,5.54,0,0,0,0,151.29,4.07,2.24,0,0
 96-106,0,0,0,10.61,2.42,80.34,0.64,0,5.78,384.37,0,0,0.95,0,0,0,9.42,1.58,27.34,0,3.27,224.05,0,1.84,151.1,0,1.32,12.04,0,0,0,0,83.29,0,1.88,0.93,0
108-118,0,0,0,9.47,0,70.64,0,0,8.56,535.78,0,0,1.08,0,0,0,5.67,9.31,18.94,1.9,3.1,296.86,0.43,0,157.58,0,0.76,0,0,0,0,0,69.13,0.57,2.79,1.09,0
120,0,0,0,5.03,0,160.7,1.61,1.39,5.4,694.55,2.01,0,4.54,0,0,2.94,0,4.02,48.22,0,0,511.75,0,0,234.11,10.96,0,1.12,0,0,0,0,60.96,5.53,0,0,0
