stage,blastomeres,eye,fin_mesenchyme,neural,periderm,spinal_cord
  5-6,16.15,0,0,0,0,0
 14-21,0,0,0,1.43,0,0
 24-34,0,0,0,2,0,0
 36-46,0,0,0,13.36,0.7,0
 48-58,0,5.05,0,6.43,0,0.67
 60-70,0,7.24,0,15.31,0,0
 72-82,0,21.97,0,1.36,0,1.34
 84-94,0,4.38,0.74,0.67,0,0
 96-106,0,0,0,5.13,0,0
108-118,0,2.34,0,3.18,0,0
