stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,111.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,180.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.8,0,0,0,6.19,0,0,0,0,8.14,0,0,0,0,0,0,0,111.69,0,0,0,20.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.6,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,108.69,3.88,0,0,30.77,0,0,0,5.9,0,0,0,0,0,0
 14-21,0,0,0,4.15,0,0,1.89,0,0,0.83,0,0,0,0,0,0,0,0,1.85,34.68,0.81,0.83,0,0.86,0,1.03,3.83,0.82,0,6.13,7.51,0,0,0
 24-34,0,0,0,0.6,0,0,7.31,0.71,1.54,0.84,0,0,0,0,0,0,4.39,0,0.75,56.83,0.83,1.86,0,0,0,0.71,0,0,0,0,12.15,0.98,0,0
 36-46,0,0,0,0,0,0,9.7,0,0,2.23,0,0,0,0,0,0,2.57,0,0.74,86.41,0.67,0,0,0,0,0,0,0,0,0,21.84,1.67,0,0
 48-58,0,0,0,0.43,0,0,16.08,0,0.81,4.27,0,0,0,0,0.39,0,5.06,0.4,0,68.56,0,0,0,0,0,0,0,0.52,0.73,0,16.23,0.54,0,0.54
 60-70,0,0,0,3.88,0,0,30.57,0,0,4.15,0,0,0.84,0,0.81,0,11.42,0,5.92,63.48,0,0,0,0,0,0.58,0,0,0,0,14.17,0,0,11.35
 72-82,0,0,0,1.77,0,0,42.34,0,3.51,5.62,0,0,0,0,3.69,0,8.25,0,1.66,52.93,0,0.63,0.53,0,1.78,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.29,0,0,21.75,1.88,0,2.22,0.91,0,0,1.33,0,0,3.44,3.32,4.17,42.73,0,0,0.59,0,0,3.57,0,0,0,0,2.77,0.91,0.98,0
 96-106,0,0,0,7.13,0,0,7.06,2.53,0.84,7.68,0.74,0,0,0,0,1.32,7.76,0,2.54,30.73,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0
108-118,0,0,0,1.3,0,0.82,21.54,0,0,17.71,0,0,0,0,0,0,12.72,0,1.15,53.5,0,2.12,0,0,0,1.73,0,0,0,0,0,1.01,0.57,0.92
120,0,0,0,1.21,6.99,0,14.4,1.23,0,3.1,2.64,0,0,0,0,0,2.56,0,0,47.57,0,0,0,0,8.63,5.41,0,0,0,0,0,0,0,0
