stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,115.87,2820.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.13,0,0,0,0,0,0,0,0
  5-6,283.5,5635.42,0,10.71,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,0,0,283.67,56.85,0,0,85.81,81,0,0,0,0,0,0,0,0
  7-9,97.45,127.32,0,113.33,0,0,244.89,0,0,0,0,70.29,0,0,0,0,0,0,0,0,0,0,3000.65,88.57,0,0,918.32,8.78,0,0,0,0,0,0,0,0
 10-12,0,42.52,0,113.41,0,0,119.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.71,39.8,0,0,430.49,0,0,66.19,0,0,0,0,0,0
 14-21,0,0,1.09,2.14,44.56,9.25,24.28,0,0,20.02,5.13,0,0,0,6.71,0,0,1.76,0,35.73,0,25.21,483.75,4.12,0.89,6.15,9.87,11.64,46.79,2.04,23.59,138.48,0,0,2.05,1.22
 24-34,0,0,0,2.57,5.81,0,47.5,0,0,7.68,1.84,0,1.23,0,0,0,0.63,0,0,37.69,0,16.52,601.69,1.23,5.75,4.17,0,4.99,0,0,9.58,105.31,0,0,9.43,0
 36-46,0,0,0,0,1.99,0.71,87.5,0,0.73,17.42,0.61,0,0,1.46,0,0,0.6,0.66,0,46.62,0.86,16.47,416.73,1.44,0,7.24,0,4.2,0,0,0,94.5,0,0,15.46,2.03
 48-58,0,0,0,0.5,5.54,0,112.56,1.96,0,27.96,0.46,0,1.2,0,0.48,0,0.85,0,1.59,47.59,1.25,7.67,214.76,0.65,0,0.39,0,1.48,0,0,0,39.95,0,0.42,1.32,0.5
 60-70,0,0,0,0,7.68,0,84.27,0,0,27.92,0,0,0,0,0,6.06,0,0,0,28.02,2.81,3.46,102.93,0,0,6.45,0,4.01,0,0,0,18.9,0,0,3.75,0
 72-82,0,0,0.58,0,3.61,0,24.85,0,2.3,16.21,0,0,0,0,0,0,0.62,0,0,42.37,2.23,6.38,96.04,0,2.93,4.61,0,0,0,0,0,6.13,0,1.67,5.98,7.11
 84-94,0,0,0,0,6.86,0,39.65,0,1.39,13.11,3.21,0,0,2.09,0,0,0,0,1.11,38.03,0.65,4.99,64.21,0,2.63,0,0,4.96,0,0,0,1.39,0.78,0,4.43,0
 96-106,0,0,0,0,7.91,0,48.35,0,1.34,15.04,1.49,0,0,4.07,0.85,0.95,0,0,0,39.2,3.78,7.2,79.93,0.71,1.34,1.55,0,1.18,0,1.33,0,0.58,0.83,0,4.91,0
108-118,0,0,0,0,8.61,0,32.97,4.79,0.44,8.51,0.47,0,0,0.95,2.01,0.94,0.63,0.67,0,30.28,0,5.8,111.25,0,1.44,0,0,0,0,1.41,0,4.79,1.01,0,2.46,0
120,0,0,0,0,4.87,2.57,27.54,0,11.04,37.75,7.52,0,0,0,1.1,1.17,2.12,0,0,54.05,0,4.5,114.03,2.01,0,0,0,5.49,0,0,0,0,0,0,2.5,0
