stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,80.18,1464.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.88,451.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,8.94,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.79,0,0,3.5,0,5.98,0,24.58,0,0,0,0,0,0,0,0,157.3,5.58,0,0,47.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.14,0,8.75,0,0,0,5.57,0,0,0,0,11.2,0,0,0,251.61,12.19,0,0,64.56,0,0,5.55,0,14.16,0,7.71,6.57,0,0,0,0,0
 14-21,0,0,0,0.84,22.33,0.92,0,1.29,0.96,0,0,0,22.24,0,4.01,2.82,62.03,2.22,0,2.07,4.52,0,0,0,4.68,0,4.05,5.73,27.02,0,0,0,0,0
 24-34,0,0,0,0.6,0.68,0,0,1.57,2.09,1.16,0,0,16.44,1.29,7.83,1.04,57.87,0.65,0,2.25,0,0,0.78,0,0,0,0,2.06,16.3,0,0,0,0,2.47
 36-46,0,0,0,0,0,0,0,0.74,3.9,0,0,0,6.57,0,4.3,1.69,27.4,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.78,1.89,0.92,0,0,3.31,0,3.3,0.65,13.55,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.41,1.97,4.59,0,0,7.42,0,1.44,0,7.91,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0
 72-82,0,0,5.72,0,0,5.65,0,12.39,3.38,53.46,0,0,0,0,4.41,0.77,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.46,0,0,8.1,0,13.97,1.46,114.44,0,0.8,1.64,0,4.85,0,12.22,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,1.19,1.97,0
 96-106,0,0,12.21,0,0,0,0,2.71,1.93,377.85,0,0,20.45,0,5.71,0,40.11,0,6.11,0,0,0,4.74,0,0,0,0,0,0,0,0,2.28,0,0
108-118,0,0,2.56,0,0,0,1.01,17.64,6.96,634.27,0,0,19.89,0,5.2,0,71.5,0.51,0,0,0,0,0.68,0.79,0,0,0.46,0,1.72,0.52,1.67,0,0,0
120,0,0,32.32,0,0,0,0,18.82,2.21,700.96,1.49,0,7.38,0,1.35,0,136,0,0,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0
