stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,1.11,0,0,0,0,0.93,0,19.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.4,0,0,0,0,0,2.11,16.47,0,0,0,0,6.71,0,0.63,0
 36-46,1.35,0,1.76,11.55,0,0,0,0,0,0,28.64,3.04,0,0,0,4.83,0,0,0.81
 48-58,0,0,0,39.54,1.39,0,0,7.48,0.57,0,41.8,0.5,0,0,0,3.35,0,1.56,0
 60-70,0,0,0,57,1.72,1.9,0,0,2.34,5.62,38.47,1.76,0,0,0,4.59,0,0,0
 72-82,0,1.57,0,17.57,1.95,0,0,0,6.04,0,14.59,0,2.28,0,0,0,0,0,0
 84-94,0,0,0.58,8.39,0,0,1.54,0,6.4,0,11.38,1.26,0,0,0,0,0.99,5.71,0
 96-106,0,0,0,12.05,0,0,0,0,0.9,0,3.68,0.7,0,0,0,3.11,0,0,0
108-118,0,0,0,5.28,0,0,0,0,0.97,0,8.64,1.25,0,0,2.18,0,0,0,0
120,0,0,3.86,11.71,0,0,0,0,6.32,0,10.52,0,0,1.89,0,0,0,0,0
