stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,9.71,1.03,0,0,0,0,0,0,1.21,0,0,0,0,1.14,0,25.03,0,0,4.1,37,0,0,3.67,1,0,7.3,0,0,0,1.64,8.04,0,0.9,0,0
 24-34,0,17.16,0,0,6.16,0,2.1,0.61,2.74,0,0.86,0,0,0,3.23,4.01,264.66,0,1.64,74.79,123.08,14.95,3.29,5.65,0,0,15.58,0,2.32,0.7,0.6,21.3,0,33.46,0,0
 36-46,0,16.33,5.75,0,10.85,0,0,6.24,2.62,0,10.38,11.77,0,1.3,0,0,593.53,1.16,15.34,164.05,116.05,5.77,0.68,6.18,0,7.5,16.03,0.74,0,11.55,0,23.68,1.85,13.77,0,0
 48-58,0,7.33,0,0,25.47,0,0.43,11.75,6.07,0,7.53,0,0,0.38,0.46,2.1,1022.08,0.7,32.52,175.08,134.38,9.49,0.38,13.35,0,3.12,7.6,0,0,0,0,13.96,2.75,19.87,1.57,0
 60-70,0,7.9,0,0,56.64,0.59,5.53,12.04,3.46,0,7.04,0.6,0,0,1.44,0.78,1790.74,0.58,40.52,148.28,141.23,17.02,1.29,4.22,0,8.7,3.83,0,0,0,0,11.89,39.11,6.07,15.64,9.14
 72-82,0,8.9,3.65,0,70.64,0,4.53,21.76,7.03,0.49,14.3,0,0,0,4.04,3.49,2061.22,0,40.05,192.89,100.52,0.51,0,7.08,0,15.09,0,0,0,0,0,2.26,64.83,22.85,51.69,0.63
 84-94,0,6.9,0,0,81.6,0,0,24.84,5.21,0,11.52,1.98,0,0,0,0,1670.77,0,82.74,95.57,79.75,5.01,0,16.03,0,6.81,1.14,0,0,0,0,1.48,68.64,34.77,55.23,0
 96-106,0,3.6,9.12,0.66,31.55,0,4.89,11.09,11.08,1.3,9.29,0,0,0,3.48,0,1553.98,11.84,34.21,88.55,63.24,3.24,2.34,5.22,0,30.9,0.7,0,0,0.71,0,0.63,27.63,14.43,47.25,0
108-118,0,12.61,9.78,0,36.31,0,2.72,14.37,4.6,0,7.79,0,0.45,0,2.86,3.04,1426.88,0,37.25,86.78,71.57,0.55,1.91,1.71,0,62.6,1.97,0,0,5.05,0,0,29.01,34.15,41.39,0
120,0,20.44,14.25,0,37.2,0,0,8.03,12.42,1.31,0,7.62,0,0,0,16.78,1483.64,1.56,39.77,52.56,68.54,3.67,0,4.54,0,72.65,0,0,0,0,0,6.18,13.89,32.83,33.88,0
