stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,181.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.14,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,0,14.48,0,0,14.37,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,152.54,5.22,0,0,55.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.46,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.2,3.92,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.56,0,3.23,0,0.88,0,1.51,0,0,0,0,0,0,0,0,0,5.12,0,0,3.03,33.6,5.67,0,0,2.06,0,1.21,6.71,4.48,0,4.36,15.6,0,0,1.26,0,0
 24-34,0,0,0,0.82,8.21,0,12.51,0,0.71,0,4.81,0,0,1.47,0,0.93,0,0,0,6.43,16.55,0.91,0,3.02,142.66,0,0.96,0,0,0,7.88,0,0.7,0,5.39,19.04,0,0,6.3,0,0
 36-46,0,0,0,0,0.55,0,15.33,5.33,0,2.89,3.74,0,0,0,0,0,0,0.79,0,6.55,11.86,0,0,10.51,174.36,0,0.56,1.85,0,0,11.48,0,0,0,0,52.28,0,0,4.35,0,0
 48-58,0,0,0,0,2.7,0,33.26,0,0,0.57,9.02,0,0,0,0,0,0,0,2.23,0,17.77,0,1.67,3.19,139.53,0,1.67,0.45,0,0,3.58,0,0.38,0,0,41.56,0,0.37,2.53,0,1.35
 60-70,0,0,0,0,3.54,0,66.61,0,0.64,0.84,15.7,0,0,0,1.93,0,0,0,0,0,29.78,0,0,1.82,139.56,0.66,0,0,0,0,9.23,0,0,0,0,22.88,0,0,0,0,1.29
 72-82,0,0,0.71,0,14.22,3.86,71.65,0,0,0.75,25.89,0,0,1.7,0,0,1.71,1.1,0,0,43.15,0,2.7,1.39,136.27,0,2.06,1.79,0,0.83,1.16,0,0,0,0,11.76,0,0,0.93,1.75,0
 84-94,0,0,0,0,2.98,0,52.56,0,0,1.7,28.11,0.66,0,0,0,0,0.73,2.87,2.32,0,32.75,0,1.83,1.12,124.99,1.52,0,1.57,0,2.19,5,0,1.19,0,0,12.7,0,0,0,0.81,0
 96-106,0,0,0,0,0.66,0,42.21,0.73,1.15,0.81,26.04,2.12,0,0,2.53,0.82,0,0,0,0,30.48,0,0,3.24,83.29,0,2.39,4.91,0,0,6.59,0,0,3.79,0,7.21,0.72,1.5,1.53,1,0
108-118,0,0,0,0,9.05,0,54.31,0,2.03,0.89,27.85,1.65,0,0,0.53,1.31,1.45,1.4,0.56,0,37.2,1.01,0,1.52,130.47,0,2.32,4.88,0,0,6.15,0,0,0.57,0,4.24,0,4.53,3.16,2.31,2.37
120,0,0,0,0,15.96,10.57,28.45,0,0,0,46.61,0,0,0,0,0,0,0,0,0,20.54,0,2.35,2.24,138.47,0,0,2.11,0,0,3.21,0,0,0,0,0,0,1.32,0,0,0
