stage,epidermis,fin_epithelia,gut,mesenchyme,notochord,taste
 24-34,0,0.7,0,0,0,0
 36-46,0,0.71,0,0,0,0
 48-58,0,0,0.49,1.88,0,0
 84-94,0,0,0,0,0,1.33
 96-106,6.02,0,0,0,0,0
108-118,6.12,0,0,0,0.57,0
120,10.55,0,0,0,0,0
