stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,73.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.05,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,15.58,0,0,0,4.99,0,10.31,0,0,0,0,0,0
 14-21,0,0,5.54,2.48,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0.95,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.95,0,0,0,0,0,0.79,0,1.13,0,0,0,1.66,0,0,0,0,2.15,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0.67,3.83,15.51,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.56,0,0,0,0,0,0,0,4.42,0,0,1.15,44.58,0,0,0,0,0,0,10.59,0,0,0.48,0,0
 60-70,0,0,1.07,0,12.94,2.61,0,0,0,0,0,0,7.39,1.27,0,0.78,107.93,0,0,1.01,0,4.66,0,1.58,0,0,4.2,0,0
 72-82,0,0,0.53,0,25.52,0,0,0,0,0.49,0,2.9,30.01,0,0,0.59,92.91,0,0,0,0,2.13,0.66,1.17,0,0,0.56,0.9,0
 84-94,0,0,0,0,10.24,0,4.11,0,0,0,0,0.68,12.01,0,1.06,2.72,71.12,0,0,0,0,5.57,0,5.45,0,0,0,0.63,1.43
 96-106,0,0,0.6,0,9.66,0,3.35,1.49,0,0,0,0,13.29,0,1.32,1.48,62.76,0.7,0,0,0,1.47,0,1.98,0,1.26,4.35,0,0
108-118,0,4.14,3.13,0,5.6,0,0,0.93,0,0,0,0,6.88,0,0,0,105.17,0,0,0,0,1.39,0,0,0.43,0,0.53,0,0
120,0,0,1.01,0,2.86,0,2.7,0,0,0,1.06,0,0,0,0,0,132.81,0,3.36,2.09,0,0,0,0,5.08,2.71,0,0,0
