stage,blastomeres,erythrocytes,eye,neural,notochord,paraxial_mesoderm,periderm
  3-4,20.97,0,0,0,0,0,0
  5-6,76.64,0,0,0,0,0,7.86
  7-9,0,0,3.56,41.28,0,5.76,0
 10-12,8.88,15.91,0,21.84,5.34,21.16,0
