stage,axial,blastomeres,epidermis,eye,fin_epithelia,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,70.87,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.5,0,0,0,15.53,5.04,0,3.71,0,9.39,0,0,0,0
 10-12,0,0,0,0,0,0,0,38.51,0,0,8.19,0,0,21.61,0,0,0
 14-21,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0.85,0,0,0
 24-34,0,0,0.87,2.8,0.7,4.42,0,16.96,0,0,0,0,0,0,1.71,0,0
 36-46,0,0,0,0.75,0,0,0,12.74,0,0,0,0,0,13.14,0.71,0,0
 48-58,0,0,0,7.87,0,7.97,0,9.47,0,0,0,0,0,0,2.05,3.85,0
 60-70,0,0,0,6.3,1.2,0.77,2.56,14.44,0,0,0,0,0,0,0.88,0,0
 72-82,0,0,0,4.75,0,1.97,0,9.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.78,0,3.37,0,1.41,0,0,0,0,0,0,0,0,2.54
 96-106,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0
108-118,0,0,3.29,4.22,0,0,0,7.54,0,1.31,0,2.26,0,0,1.53,0,0
120,0,0,0,0,0,8.69,0,18.05,0,0,0,0,0,0,0,0,0
