stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,3.26,0,0,0,0
 10-12,0,0,0,5.95,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0,2.77,1.25,0,1.74,7.67,5.37,3.02,4.49,0,0,0
 24-34,0,0,0.8,0,0,0,0,0,0,0,0,0,1.72,1.4,7.74,0.61,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.44,0,0,2.11,0,13.15,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0
 60-70,0,0,0.71,0,0,4.2,0,0,0,0,0,0,0,1.13,2.66,2.73,0,0,0,0
 72-82,0,0,0,0,0,2.05,0,0,2.09,1.61,0,0,0,6.44,0,3.38,0,0,0,0
 84-94,0,0,0,0,0,6.29,6.17,1.33,0,1.74,0,0,0,8.84,1.99,22.37,0,0,0.63,0
 96-106,0,0,0,1.69,0,1.76,13.35,0,0,13.9,0.83,0,0,0,0,11.34,0,0,0,0
108-118,0,0.74,0,14.64,1.76,0.57,12.21,0,0.94,8.33,0,0.71,0.67,7.54,0,16.95,0,1.81,0,4.06
120,0,0,2.63,28.86,0,17.71,7.43,0,0,6.68,2.7,0,0,26,10.81,12.26,0,0,0,0
