stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,38.59,509.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.49,0,0,0,0,0,0,0,0
  5-6,67.25,893.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,16.84,0,0,0,0,0,0,0,0
  7-9,56.05,68.33,0,43.49,0,0,240.72,0,0,0,0,0,38.97,0,0,0,0,0,0,0,0,0,1329.95,41.57,0,0,535.57,0,0,0,0,0,0,0,0,0
 10-12,0,114.15,0,109.62,0,10.48,118.43,0,0,0,0,0,60.27,0,0,0,0,0,0,0,0,0,1606.44,29.59,0,0,586.43,4.05,9.53,80.51,0,0,0,0,0,0
 14-21,0,0,0,4.44,77.76,27.23,16.75,0,0.88,0,4.34,3.12,1.34,0,0,0,0,2.94,23.27,0,0,19.55,211.07,4.42,1.84,8.53,11.69,8.78,54.17,4.47,2.13,69.03,66.2,0,0.82,0
 24-34,0,0,0,0.74,5.69,0,8.25,0,0,0,1.48,0.66,1.4,2.3,0,1.37,0,0.68,11.82,0,0,2.38,48.08,1.19,2.66,0.73,0,3.01,1.19,0.69,0,4.93,17.98,0,1.57,0
 36-46,0,0,0,0,4.1,0,11.18,0,0,0,1.9,0.82,0,0,0.94,0,0,0,12.31,0,0,2.96,25.75,0,1.69,1.62,0,4.38,0,2.66,0,0,2.96,0,0,0
 48-58,0,0,0,0,6.93,0,22.16,0,0,0,3.64,0,0,0,0,0,0,0,10.97,0.48,0.4,2.45,13.32,0,0.38,1.4,0,6.25,0,0.96,0,0,4.17,0,1.85,0
 60-70,0,0,0,0,3.92,0.81,12.04,0.73,0,1.85,3.06,3.41,0,0,0,0,0,0,6.03,0,0,0,6.7,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 72-82,0,0,0.53,0,1.33,1.21,13.9,0,0,0,7.99,1.05,0,0,0,0,0,0,4.22,0,0,0,6.48,0,0.53,2.46,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.27,0.73,3.05,0,0,0,0,2.03,0,0,0.75,0,0,0,5.97,0,0.57,0.77,2.52,0,0.7,2.27,0,1.61,0,0,0,0,0,0.72,2.26,0
 96-106,0,0,0,0,1.4,12.01,3.92,0,0,0,2.06,2.05,0,0.89,0,0,0,0,2.54,0,0,0,1.32,0.7,0.56,6.92,0,0,0,0,0,0,1.67,0,0.7,0
108-118,0,0,0.83,0,0.42,2.55,0.64,0,0,0,2.6,0,0,0,1.67,0.47,0.52,0.52,1.58,0,0.49,0.91,2.47,0,0,0.62,0,0,0,0,0.56,0,0,0,1.55,3
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,2.18,0,8.27,0,10.43,0,0,7.34,0,0,0,1.87,0,0,0,0,0,4.27
