stage,gut,hatching_gland,ionocyte,mucous,neural,periderm
 36-46,0,0,0.65,0,0,0
 48-58,0,0.7,0,0,0,0
 60-70,0,0,0,1.1,0,0
 72-82,0,0,0,0,0,1.16
 84-94,0.99,0,1.25,0.61,3.71,0
 96-106,0,0,1.89,1.62,0,0
108-118,0.87,0,0,0.94,0,0.93
120,1.31,0,0,0,0,0
