stage,epidermis,eye,mucous,neural,olfactory,periderm
 36-46,0,0,0,0.78,4.05,0
 84-94,0,0,0,1.7,0,0.65
 96-106,0.73,2.37,0,0,0,2.68
108-118,0,0,1.47,5.33,0,0.52
120,0,0,0,15.55,11.79,1.24
