stage,axial,blastomeres,endoderm,eye,fast_muscle,fin_epithelia,gut,hatching_gland,lateral_line,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,10.58,61.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,112.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.28,4.61,4,0,0,0,8.02,0,0,54.29,4.32,0,45.02,0,0,0,0,0,0
 10-12,0,0,0,13.81,0,0,0,0,0,0,110.78,0,0,52.84,0,0,0,5.43,5.41,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,1.73,0,0,3.76
 24-34,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,7.28,1.4,0,0,0,0,0.83,8.62,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.1,0,0,0,0,0,1.43,10.01,0,0,0,0,0,0,0,0,0.47
 60-70,0,0,0,4.09,0,0,0,0,0,1.53,4.69,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.8,0,0,0,0,3.2,0,0,0,0.57,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.89,0,0,0,2.25,0,3.13,0,0,1.14,0,0,0,0
108-118,0,0,0,3.12,0,0,0,0,1.56,1.55,2.96,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0
