stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 60-70,0,1.7,0,0,0,0,0,0,0,0,0,0
 72-82,0,8.4,0,0,0,0,2.26,0,0,0,0,0
 84-94,0,26.39,5.23,0,0,0,0,0,0,0,0,0
 96-106,1.58,90.57,6.48,7.08,2.69,6.37,7.29,0,0,0,1.58,0
108-118,0,281.13,10.54,0,0,0.62,14.01,0,0.52,1.77,0,1.2
120,0,107.42,6.15,0,0,0,33.05,10.18,2.94,0,0,0
