stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,liver,melanocytes,mesenchyme,neural,otic,paraxial_mesoderm,periderm,vasculature
  3-4,11.67,46.63,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.15,0,16.44,0,0,0,0,0,67.28,0,10.23,0,0
 10-12,0,0,5.27,0,11.47,0,0,0,0,0,50.52,0,14.18,0,0
 48-58,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0
 60-70,0,0,0,0.69,0,0,0.84,0,0,0.76,0,0,0,1.92,0
 72-82,0,0,0,0,0,0,1.2,1.6,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.06,1.26,0,0,0,0,0,2.61,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88
108-118,0,0,0,0.74,0,0,1.03,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.49,0,0,0,0,0,0,0,50.47
