stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,140.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,84.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,3.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,2.08,0,0,0,0,0
 24-34,0,0,0,0,0,2.6,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,1.9,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,5.79,0,39.84,0.95,0,3.3,0,0,0,0,0,7.06,0,0,1.08,1.56,0,25.98,0,0,0,2.15,0,0,0,0,0,0,0
 48-58,0,0,0,4.12,0,9.57,0,10.21,19.8,0,1.79,0,0,0,0,0,112.61,0,0,1.45,11.09,0,23.7,1.73,0,0,0.51,0,1.28,0,0,0,0,0
 60-70,0,0,0,0.76,0,35.61,0,18.74,96.93,2.61,9.13,0,0,0,0,0,585.56,0,0,14.08,20.91,0,32.4,3.08,0,0,2.52,0,0,0,1.8,0,0,0
 72-82,0,0,0,17.21,0,121.84,2.3,11.38,49.08,10.35,2.55,0,1.51,0,3.3,2.32,1392.82,0,0,14.1,26.52,1.92,29.65,0.51,0,0,1.34,0,6.15,0,10.93,0,8.46,3.68
 84-94,0,0,0,3.21,0,134.23,0,12.45,52.13,12.2,21.23,0,2.24,0.73,0,0,1404.86,0,11.27,5.7,21.48,0,25.35,3.04,0,0,0,0,4.38,0.74,0,0,3.4,0
 96-106,0,0,0,7.83,12.59,122.9,0,16.09,42.8,38.85,0.86,1.6,0,0,0,0,1211.33,0,4.32,4.95,32.45,0,26.28,3.83,0,1.83,3.78,1.42,0,0,0,2.15,12.02,0
108-118,0,0,0,3.69,0.52,84.2,0.58,1.27,31.23,29.81,2.35,0,3.6,0,0,0,1368.24,0.77,0,5,58.92,0,18.11,0.94,0,4.04,4.17,0,2.77,0,2.36,0,6.73,0
120,0,7.01,0,10.99,0,144.72,1.21,0,38.72,45.34,0,0,2.81,5.29,0,0,1314.04,3.12,0,0,0,0,34.15,0,0,5.34,0,0,0,0,6.25,0,27.25,2.85
