stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.92,926.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,81.67,843.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.25,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,192.3,9.66,0,0,32.43,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.65,0,0,0,6.85,0,6.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,26.79,5.89,1.08,0,0,0,0,0,0,4.35,0,0,0,0,0,0,2.11,0,0,4.56,50.71,8.55,1.37,0,2.35,0,33.29,0,3.21,0.91,1.94,5.83,11.27,0,0,2.84,0,0
 24-34,0,0,0.6,26.42,0,7.94,0,1.55,1.54,0.93,0,4.49,11.8,1.02,2.58,0,0,0,0,16.48,2.33,0,3.07,122.82,3.27,3.62,0,0,0,49.97,0,0,2.9,1.42,3.57,45.83,0,0,14.07,0,0.91
 36-46,0,0,0,10.27,0,12.87,0.88,17.69,0,2.17,0.66,0.76,2.46,0.81,0.66,0,0.74,0,0,12.61,1.07,0.57,1.1,252.65,0,3.22,0,0,0,98.28,0,0,0,1.04,0,33.43,0,0,2.24,0,6.11
 48-58,0,0,0,6.9,0,43.34,0,1,0.73,6.13,0,0,0,5.83,0,0,1.25,0,0,15.22,1.8,0.6,0,236.76,0,1.7,0,0,0,33.06,0,0,0,0,0,56.22,0,0.44,14.25,0,0
 60-70,0,0,0,24.93,0,88.63,1.38,10.4,0,4.58,0,0,0,0.65,0,0,0,0,1.05,18.8,0.84,0,0.67,254.15,2.15,2.27,0,0,3.81,32.83,0,0,0,5.44,0,51.96,0,0,4.05,0,0
 72-82,0,0,0,8.03,0.77,85.59,0.55,4.17,0.69,18.77,1.55,0,0,1,0.96,2.08,0.67,1.05,0,27.14,0.83,3.41,1.36,220.22,0,4.66,1.78,0,2.23,21.03,0,0,0,0,0,15.97,0.97,3.45,14.64,3.05,6.55
 84-94,0,0,0,25.21,1.19,65.84,0,4.08,0.59,7.59,2.57,0,0,4.14,1.63,0.71,2.15,0.58,1.36,21.93,0,0.69,0.59,137.25,2.21,0.64,0,0,0,74.6,0,0,0.74,0,0,18.18,1.97,2.03,7.33,6.88,0
 96-106,0,0,0,19.5,0,94.46,0,2.15,2.64,8.13,4.01,0,0,8.79,3.7,4.84,1.2,0,0,14.18,2.07,1.06,3.58,131.87,0.59,0,0.59,0,0,65.8,0,0,0.61,0,0,5.67,5.51,2.49,12.87,13.59,0
108-118,0,0,0,19.29,4.4,48.43,1.32,2.63,0,16.04,9.08,0,0,7.9,1.66,3.14,0.43,4.41,0,38.78,0,6.34,2.49,150.73,0,4.52,0.86,0,0.76,36.97,0,0,0.53,0.43,0,5.31,0.49,7.86,8.92,1.91,0
120,0,0,0,21.7,0,55.47,0,5.3,0,6.93,7.62,0,0,5.78,6.63,2.12,1.11,0,0,35.24,0,13.04,0,310.61,0,0,9.06,0,18.18,37.53,0,0,1.74,1.6,0,9.15,3.57,0,2.42,10.63,0
