stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,587.07,15290.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.25,0,0,0,0,0,0,0,0,0,0
  5-6,556.04,8904.35,0,40.97,0,0,0,0,0,0,0,0,25.08,0,0,0,0,0,0,0,0,0,0,0,257.44,33.04,0,0,124.96,0,232.39,0,0,0,0,0,0,0,0,0,0
  7-9,202.19,212.69,0,492.51,0,6.96,934.46,0,0,0,0,0,225.07,0,0,0,0,0,0,0,0,0,0,0,7627.66,369.72,0,0,3185.6,0,31.26,98.99,0,25.49,0,0,0,0,0,0,0
 10-12,0,198.51,0,352.12,0,34.12,464.39,0,0,0,0,0,75.23,0,0,0,0,0,5.32,0,0,0,0,0,6147.01,124.3,0,0,2529.45,0,0,27.1,24.03,292.35,11.79,17.48,0,0,0,0,0
 14-21,0,0,0,10.39,99.04,50.45,76.49,0,0,0,21.7,4.93,2.04,3.04,0,0.81,0,0.84,0,0,60.32,0,0,56.76,1241.62,22.17,8.92,7.7,37.91,0,10.53,1.4,146.51,8.4,86.13,360.53,0,0,8.38,0,0
 24-34,0,0,0,0.59,37.02,11.99,385.28,0,0,1.96,33.46,3.57,0,1.06,4.48,2.87,4.19,2.99,3.52,0,236.63,0.74,0.81,71.2,3209.1,6.4,27.96,21.58,0,0,32.43,0,0.83,1.45,12.67,686.15,0,0,22.15,0,2.3
 36-46,0,0,0,0.56,12.24,17.14,878.21,0,0,1.43,49.37,0.56,0,1.64,2.09,0,3.52,2.49,1.16,0,180.7,0,4.02,45.16,2235.18,10.17,24.2,9.3,0,0,24.49,0,0,3.37,0,451.62,0,0,9.27,0,4.58
 48-58,0,0,0,0,35.83,26.49,1483.12,0,0.44,1.86,101.7,0.47,0,3.88,5.35,0,5.77,4.31,8.4,1.1,262.93,0,13.68,51.05,1495.98,10.09,4.04,10.09,0,0,7.65,0,0,1.42,0,207.12,0,0,12.84,0,15.08
 60-70,0,0,0,0,26.49,17.82,924.31,0.91,0,3.5,90.44,4.15,0,0,6.89,0,3.7,1.74,11.58,0,138.25,0,4.5,20.56,716.42,3.65,1,3.8,0,0,3.33,0,0,0,0,30.83,0,0,5.99,0,2.86
 72-82,0,0,1.15,3.31,16.41,3.25,329.38,0.55,0,0.85,49.33,8.13,0,1.57,7.1,3.83,8.88,0,0.78,0,124.23,1.07,6.22,18.57,351.29,0,6.22,5.61,0,0,1.27,0,0,0,0,8.66,0,0.85,9.19,2.06,0
 84-94,0,0,0,0,26.57,7.78,303.87,0,0,1.21,44.53,6.22,0,0,6.28,1.75,7.08,0,3.73,0,135.11,0,15.45,15.79,378.88,5,6.49,5.99,0,1.01,3.57,0,0,0,0,6.58,0,0.98,16.63,0,0
 96-106,0,0,0,0,9.48,7.29,204.28,0,0,0,41.42,7.01,0,4.09,6.71,0.66,0,3.58,8.27,0,50.07,1.95,1.54,11.23,232.21,0.65,2.36,6.89,0,0,7.35,0,0,1.33,0,3.93,0,0,16.76,0.68,0
108-118,0,0,0,0,10.42,17.45,253.43,0,0.81,0,46.86,0.43,0,0,6.95,0.45,9.7,0,2.03,0,52.7,0,3.43,9.53,371.1,0,4.4,7.39,0,2.29,4.43,0,0,0,0,6.47,0,0,6.68,0.54,0
120,0,0,0,0,3.17,14.01,229.59,0,0,2.07,47.01,5.04,0,5.18,5.81,2.8,1.59,1.88,5.44,0,52.72,0,0,14.7,295.7,3.31,4.45,11.16,0,0,0,0,0,0,0,7.82,1.1,0,21.12,0,0
