stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,21.51,119.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,25.7,0,0,13.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,134.81,0,0,5.96,0,4.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.94,0,3.29,0,0,0,0,0,0,0,1.14,0,0,27.17,0,0,0,0,0,2.32,0,0,19.2,0,0,0,0
 24-34,0,0,0,1.75,0,0,0,5.45,0.83,0,0,0,0,0,0.64,6.78,0,2.34,96.76,1.24,0,0,0,0,0,0,1.01,35.7,0,0,4.54,0
 36-46,0,0,0,0,0,0,0,10.07,4.56,0,0,0,0,0,0,12.53,0,0,154.52,6.73,0,0,0,0,0,0,0,41.24,0,0,0,0
 48-58,0,0,0,0,0,0,0,22.7,13.77,0,0.94,0,0,0,5.8,2.94,0,0.4,223.6,4.17,0,0,0,0,0,0,0,35.6,0,0,0,0
 60-70,0,0,0,0,0,0,0,51.6,17.03,0,0,0,0,0.82,0,10.74,0,0.68,282.27,0,0,0,0,0,0,1.21,0,40.89,0,0.67,0.83,0
 72-82,0,0,0,0,0,0,0,61.15,7.52,0,0.75,0,0.81,0,0,25.37,0,0,241.04,2.04,0.59,0,0,0,0,0,0,28.82,0,0,1.71,0
 84-94,0,0,0.84,0,0,0,0,53.38,23.73,0,1.44,0.6,0,0,0,7.23,2.66,0,139.09,3.51,0,0,0,0,0,0,0,10.09,0.74,0,1.56,2.6
 96-106,0,0,0,0,1.48,0,0,41.89,13.65,0,0,0.68,0,0,0,35.17,0,3.85,162.18,2.53,1.07,0,0,0,0,0,0,19.91,0,0,0,2.58
108-118,0,0,0,0,0,1.4,2.73,45.1,14.89,0,2.95,1.23,0.85,0,1.79,29.38,0,0,140.51,3,0,0,0.48,0,0,0,0,9.39,0,0.53,1.44,0
120,0,0,0,0,7.8,0,0,39.7,10.21,4,9.97,0,0,0,0,12.75,0,3.96,246.1,1.11,0,0,0,0,0,0,0,19.18,0,0,0,0
