stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.72,0,8.6,6.32,0,0,0,0,0,0,0,0,0,16.55,0,5.07,0,0,0,0,0,0,0
 14-21,0,0,0,5.07,0,24.8,0,0,0,0,0,0,0,0,0,56.21,0,0,0,1.08,0,3.92,0,0,0
 24-34,0,0.83,0.61,0.83,0,115.57,0,0.89,0,0,0,0,0.73,0,0,110.35,0,0,0,0,0.72,4.55,0,0,0
 36-46,0,0,0,0,0,53.12,0,0,1.53,0,0,0,4.73,0,0,61,0,0,6.76,0,0,11.56,0,0,0
 48-58,0,0,0,0.38,0,100.43,5.76,0,6.08,0,0,0,6.92,0,0,173.43,0,0,0,0,0,8.13,0,0,0
 60-70,0,0,0,0,0,103.19,0,5.95,0.72,0,0,0,13.18,0,0,412.01,0,0,0,0,0,12.17,0,1.4,0.72
 72-82,0,0,0,0.87,0.57,138.12,0,1.79,0,0,0,0,5.3,0,1.56,530.99,0,0,0,0,0,13.31,0,0,0
 84-94,0,0,0,6.73,0,138.5,0,0,8.76,0,0.61,0,6.54,1.06,0.61,305.34,0.92,0,0,1.07,0,2.47,0,5.41,0
 96-106,0,0,0,1.32,0,100.2,0,0,3.73,0,0,0,10.26,1.17,0,345.58,0,0,1.28,0,0,5.64,0,1.27,0
108-118,0,0,0,5.39,0,72.32,0,0,8.69,0.61,0,0.56,9.51,0,0,396.15,0,0,0,0,0,0,0.84,0,0
120,0,0,0,5.65,0,105.12,0,0,7.25,0,0,0,20.5,0,0,526.33,0,0,0,0,0,0,0,0,0
