stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,229.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,231.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,0,26.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.83,0,0,35.64,0,0,0,0,0,0,0,0,0
 10-12,16.15,0,19.91,0,0,0,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.11,16.41,0,86.5,0,0,5.84,5.61,0,0,0,0,0
 14-21,0,0,0.9,13.55,0.81,0,4.26,0,0,0,0,2.3,0,0,0,0,0,1.81,0,0,19.86,34.41,0.94,0,1.9,0,9.42,0,19.23,12.33,0,0,1.09,0
 24-34,0,1.05,0,10.35,0,0,3.55,0,0,0,5.67,0,0,0,2.34,0,0,12.7,0.93,0,3.39,58.48,2.21,2.31,0,4.22,0,1.98,4.26,8.51,0,0,2.43,0
 36-46,0,0,0,5.58,0,0,14.2,0,0,0.96,7.01,0,0,0,0,0.74,0,16.22,0,0,6.7,122.05,0,1.13,0,2.75,0,0,0,39.16,0,0,0,0
 48-58,0,0,0,6.81,0,0,61.95,0,0,0.56,7.49,0,0.44,0,0,0.5,0,31.86,0,0,3.08,118.74,0,0.7,0,9.31,0,0,0,19.4,0,0.51,1,0
 60-70,0,0,0,0.6,0,0,136.22,0,1.92,2.45,8.59,0,0,0,0,2.05,2.74,36.14,0.65,0,6.77,207.76,0,1.41,0,2.99,0,0,0,15.81,0,0,0,0
 72-82,0,0,0,0.98,0,0,202.01,0,0,0,18.47,0,0,0,0,1.78,0,42.41,1.88,2,4.51,246.58,0,1.05,0,4.35,0,0.73,0,23.2,1.63,0,0,0
 84-94,0,0,0,4.09,0,0,114.57,0,6.22,0,10.48,9.42,0,0,0,0,0,53.86,0.86,0,0.59,122.11,0.67,1.07,0,0.91,0,0,0,7.75,0,0,0.96,3
 96-106,0,0,0,3.35,0,1.05,88.79,0,0,1.02,15.72,0.97,0,0.79,0.56,2.47,1.58,20.21,0,0,0.65,90.04,0,1,0,6.17,0,0,0,17.36,1.6,0,0.88,0
108-118,0,0,0,2.04,0,0,73.92,0.73,0.42,0,18.97,0,0.56,0,0,2.25,0,48.66,0,4.77,1.95,108.17,0.58,0,0,8.5,0,0,0,3.87,0,0,1.51,0
120,0,0,0,27.64,0,0,71.39,0,1.19,1.56,27.31,2.12,0,0,1.25,0,0,58.03,0,0,0,274.62,2.55,0,0,5.24,0,0,0,1.53,0,7.39,0,0
