stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,82.08,992.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.68,791.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,11.17,0,0,12.44,6.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.38,10.41,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.49,7.7,0,0,43.99,3.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.75,6.18,0,0,45.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,74.95,1.26,0,0.86,0,0,0.89,0,0,0,0,0,0,0,0,0,3.43,0,0,0,10.59,3.07,0,0.87,0,4.51,1.54,4.21,0,0,6.13,8.47,0,0,0.91,0,0
 24-34,0,0,0,92.84,0.95,0,0,6.42,0,1.39,0,0,0,0,0.75,0,1.57,0,0,12.93,0.95,0,7.26,48.91,0,5.47,1,0,32.83,0,0,1.82,3.72,1.53,5.31,0,0,9.35,0,0
 36-46,0,0,0.96,67.01,0,0,0.65,52.81,1.89,0,0,0,2.97,0,1.57,0,3.21,0,0,36.58,0,0,8.74,56.02,2.57,5.94,2.63,0,55.05,0.91,0,2.98,0,0,13.5,0,0,3.81,0,0
 48-58,0,0,0,72.17,0,0,7.57,17.78,1.77,0,0.9,4.59,0,0,0,0,2.7,0,10.88,35.41,0.82,1.66,7.24,38.64,0,3.78,0.86,0,46.65,0,0,2.13,1.65,0,7.08,0,0,2.55,0,0.66
 60-70,0,0,0,66.34,0,0,19.09,34.77,0,0.92,2.6,0,0,0,4.4,0,3.5,0,11.56,83.47,0.62,0,4.15,32.26,0.7,8.59,1.66,0,86.06,0,0,2.47,0,0,7.47,1.22,0,2.69,1.18,0
 72-82,0,0,0,56.35,4.08,0,9.5,17.08,2.12,1.41,7.92,0.6,0,0,0,0.65,9.86,0,1.95,84.84,5.63,1.14,8.48,27.89,0,5.7,8.92,0,31.06,0,0,0.51,0,0,3.46,0.5,0,8.8,2.36,0
 84-94,0,0,0,118.27,2.67,0,18.57,38.27,0,0.55,7.34,0,0,0,3.43,0,13.04,0,2.53,83.09,6.5,18.09,6.89,13.04,1.75,8.33,7.48,0,65.63,0,0,0,0,0,0,0.97,0,22.85,3.01,16.44
 96-106,0,0,0,124.35,10.49,0,51.47,26.52,3.51,11.36,13.79,0,4.53,1.6,1.61,0,17.27,0,0.98,81.8,3.89,5.26,3.06,50.15,0.57,17.6,16.84,0,50.28,0,0,0,0,0,3.11,7.12,0,7.55,5.92,0
108-118,0,0,0.68,120.24,7.94,0,15.96,55.64,1.28,7.56,15.38,0,2.2,1.19,2.56,0,20.15,1.86,0.58,135.67,3.76,3.85,5.53,31.08,0,9.88,20.95,0,45.33,0,0,3.79,0,0,1.22,5.19,0.88,24.7,2.89,8.36
120,0,0,0,67.03,3.13,2.02,8.66,34.92,4.41,11.15,17.07,0,7.11,1.06,10.11,0,2.81,5.65,0,48.22,3.25,1.83,0,80.09,0,3.32,23.14,0,53.84,0,0,4.4,0,0,0,1.94,0,24.26,0,21.76
