stage,blastomeres,eye,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,0,0,0,0,0,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,9.44,0.69,0.78,0.93,0.93,0.76,0
 36-46,0,1.31,0,0,0,0,0,0,4.74,0,0,0,1.97,0,0
 48-58,0,0,0.56,0,0,0,0,0,0,0,0.52,0,0.81,0,0
 60-70,0,0,0.85,0,0,0,0,0,0.59,0,0,0,0,0,0
 72-82,0,2.18,0,0.56,0,1.18,0,0.53,0.92,0,0,0,0,0,0
 84-94,0,3.46,0,0,0.6,0,2.26,1.56,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0
108-118,0,1.42,0,0,0,1.72,2.74,1.52,0.54,0,0,0,0,0,2.13
120,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0
