stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.67,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,46.83,4.9,0,0,0,0
 10-12,0,4.97,0,0,0,0,0,0,0,0,0,42.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0
 24-34,0,0,2.53,0,0,0,1.39,2.64,0.69,0,1.68,2.58,0,0,0.8,0,3.18
 36-46,0,0,0,0,0,0,10.06,6.69,0,0,0.72,2.06,0,0,1.96,0,0
 48-58,0,0,1.94,0,1.74,0.53,0,3.62,0,0.77,4.02,4.62,0,0,0,0,0
 60-70,0,0,9.24,0,1.02,0,0,9.99,0.63,0,0,3.47,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.75,8.11,0,0,1.29,3.59,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.33,0.58,0,0,0,10.31,0,0,0,2.04,0
 96-106,0,0,0,1.41,0,0,0,0.91,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.69,2.49,0,0,2.58,0,0,0,1.13,0
120,0,0,0,0,0,0,0,19.19,0,0,0,0,0,3.99,0,0,0
