stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.93,111.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.76,337.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46,0,0,0,11.07,0,8.01,0,0,0,0,0,0,0,0,0
  7-9,4.28,10.73,0,16.5,0,0,0,87.22,0,0,0,0,0,36.84,0,0,0,0,0,0,0,0,0,0,338.8,0,0,0,197.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.72,0,0,0,0,0,34.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.65,26.72,0,0,246.5,0,0,0,25.84,0,17.82,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,13.72,0.91,0,0,0,0,0,0.99,0,0,1.72,1.38,0,2.51,0,0
 24-34,0,0,0,0,10,0.76,0,8.59,0,0,0,1.45,0,0,1.27,0.89,0,0.86,0.68,0,14.46,0,0,7.88,143.03,0,0,0.74,0,0,18.73,0,0.6,1.7,1.03,23.06,0,10.45,0,2.23
 36-46,0,0,0,0,19.92,0.94,0,24.53,15.48,0,0,2.05,0,0,0,1.52,0,0,1.07,2.08,28.78,0,0,4.19,206.48,0.78,3.49,0.9,0,0,54.26,0,7.44,3.61,1.18,25.41,0,3.03,0,0
 48-58,0,0,0,0,5.46,0,0,22.08,3.23,0,0,2.53,0,0,7.07,3.78,0,0,0,4.57,21.65,0,0.42,6.54,137.1,0,0,8.85,0,0,58.66,0,1.93,0.89,0,19.36,0,1.5,0,3.23
 60-70,0,0,0,0,22.65,6.51,0,90.62,1.49,2.18,3.87,18.14,5,0,0,6.14,0.82,0,1.35,2.52,62.62,2.18,0,10.52,193.34,1.81,0,0.91,0,0,63.36,0,0.68,3.02,0,46.44,0.57,8.48,1.46,0
 72-82,0,0,0.97,0,7.93,2.63,0,61.5,0,12.35,1.31,10.11,0.7,0,10.38,0.58,4.47,0.68,0,6.37,45.19,1.61,0,2.15,132.84,0,1.39,1.48,0,0,22.41,0,0.84,0,0,13.11,0,5.97,0,0
 84-94,0,0,0,0,5.75,0,1.32,61.25,6.7,0.74,3.19,0,3,0.99,7.13,0.71,0.81,0,6.03,1.35,15.43,0,0,10.61,59.91,7.58,5.05,1.19,0,0,19.65,0,2.08,1.31,0,10.53,0,0,0,14.34
 96-106,0,0,0,0,4.56,0,0,15.88,0,0,3.66,7.68,1.53,0,0,0,1.05,0,0,0.69,18.61,0,0,0.78,26.95,0,0.67,0,0,5.34,1.42,0,0,0.6,0,0,0,0,0,0
108-118,0,0,0,0,10.7,0.45,2.54,18.06,0,0,0,9.79,8.2,0,0,4.69,1.63,0,1.23,5.15,20.24,0,0.5,0,25.77,0.43,0,0,0,0,5.82,0,1.05,0,0,8,0,0.62,0,0
120,0,0,0,0,10.69,1.38,0,82.94,0,9.45,6.87,28.53,2.23,0,7.59,11.25,0,0,0,0,47.63,0,0,7.26,194.96,0,0,9.85,0,0,37.57,0,2.65,0,0,10.33,0,7.04,0,0
