stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,39.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,4.62,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,9.5,0,0,17.35,0,0,6.94,0,0,0,0,0,0
 10-12,0,0,0,4.81,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,3.62,0,4.16,0,0,0,0,0,0,0,0,1.13,2,0,3.29,21.26,0,0,0,0,0,0,0,0,14.13,0,0,0,0
 24-34,0,0,4.49,3.09,6.69,0,0,0,13.76,0.82,0,0,0,0,0,0,4.99,0,4.95,107.31,0,0,0,0,0,0,0,0,65.77,0,0,1.92,0
 36-46,0,0,0,0,0,0,6.68,0,12.71,0,0,0,0,3,0.72,0,20.11,0.85,10.75,92.94,0,0,0,0,0,0,0,0,50.4,0,0,3.44,0
 48-58,0,0,0,0,6.79,0,1.67,0,8.78,0,0,0,0,1.33,0,0,16.46,0,5.42,82.08,0,0.88,0,0,0.61,0,0,0,29.97,0,0,22.73,0
 60-70,0,0,0,0,4.88,0,35.2,0,23.77,0,0,0,0,0.95,0,0,88.53,0,3.5,138.37,0,0,0,0,3.56,0,0,0,15.22,2.47,0,18.44,0
 72-82,0,0,0,0,39.66,0,7.65,0,23.06,0,0,0,0,1.11,0,0,50.25,0,3.15,246.16,0,0,0,0,5.51,0,0,0,43.77,0,0.93,88.7,0
 84-94,0,0,0,0,40.84,0,9.35,0,21.18,0,0,0,0,13.64,0,0,100.34,0,0.57,151.05,0,0,4.03,0,2.51,1.11,0,0,22.54,0,0,94.87,1.09
 96-106,0,0,1.62,0,80.33,0,25.73,1.94,13.35,1.99,0,1.61,0,7.55,0,0,51.87,0,0,175.54,0,0,2.45,0,6.62,0,50.81,0,24.2,2.25,0,146.3,0
108-118,0,0,0,0,5.07,0,116.64,0,14.23,0,0,0,1.32,1.53,0,0,118.69,1.28,2.64,110.29,0,0,0.92,0,3.32,0,0,0.44,11.52,2.21,0,87.15,0
120,0,0,0,0,40.88,0,11.93,1.78,4.8,0,0,0,0,13.17,0,0,102.42,0,8.24,275.1,0,0,4.64,0,22.36,0,0,0,1.91,0,0,86.81,0
