stage,endocrine_pancreas,endoderm,eye,glial,lateral_line,neural,olfactory,otic,pronephros,spinal_cord,vasculature
  7-9,0,6.18,0,0,0,10.24,0,0,0,0,0
 10-12,0,0,0,0,0,3.35,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.71,3.96,0
 24-34,0,0,0,0,0,0,0,0,0,0.93,0
 36-46,0,0,0,1.07,0,1.21,1.25,0,1.31,1.44,0
 48-58,0,0,0,0,0,0,8.1,0,0,1.55,0
 60-70,0,0,1.68,1.29,0,2.92,8.57,0,1.95,1.36,0.85
 72-82,0.56,0,0.72,1.64,0,0,2.97,0,0,0,0
 84-94,0,0,0,0,0,0,7.2,0,0,3.05,0
 96-106,0,0,0,0,0,0,3.47,0.67,0,1.72,0
108-118,0,0,0,0,0.63,0,4.07,0,0,0,0
120,0,3.17,0,0,4.94,6.98,2.92,0,0,0,0
