stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0
  5-6,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42,0,0,11.86,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,2.13,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,76.88,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,39.94,0,0,0,0,1.8,0.59,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.66,0,0,1.33,0,0,0.46,98.08,0,1.8,0,0,9.78,0.37,10.56,0,0,0,3.67,0,0,0
 60-70,0,0,0,0,2.54,0,0,2.59,0,0,0,139.65,0,2.97,3.18,0,8.8,1.08,3.97,0,0,0,0,0,0,0
 72-82,0,0.65,0,0,9.55,0,0,0.66,0.51,0,4.43,213.06,0,9.94,0,0.69,20.94,0.88,5.53,0,0,2.87,0.99,0,0.68,0
 84-94,0,0.75,0,0,4.22,0,0,4.22,0,4.24,0,528.48,0,0,0,0,43.17,2,3.3,0,0,2.55,1.97,0.61,1.96,0
 96-106,0,1.09,1.57,3.86,32.63,1.06,0,1.05,1.71,0,0,588.66,2.65,8.41,0,0,22.22,1.44,0,0,4.32,0.83,0,0,2.55,4.8
108-118,0,4.75,0.72,0,1.54,1.47,6.46,2.09,0,0,0,596.3,0,1.65,0,0.96,46.49,0,3.2,0,0,1.62,0,0,0,0
120,0,0,0,0,10.74,0,0,0,0,0,0,612.72,0,6.1,0,0,12.04,0,0,0,0,0,0,0,0,0
