stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,150.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,30.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.56,0,35.68,0,0,3.29,0,0,0,0,0,0,0,0,131.85,3.69,0,0,82.75,0,0,0,12.83,0,0,0,0
 10-12,0,5.81,0,19.86,0,8.6,7.26,0,0,0,0,0,0,0,0,107.39,0,0,0,35.04,0,0,0,22.1,0,0,0,0
 14-21,0,0,0,4.22,0,0,1.14,0,0,0,0.98,0,0,0,2.25,27.43,0,0,0,0,0,0.9,2.59,0,1.14,8.82,0,0
 24-34,0,0,0.75,0.6,0,0,0,1.01,0,0,0.67,0,0,1.8,0.65,30.32,0,0,0,0,0,0,0,0,0,20.05,0.73,0
 36-46,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,22.07,0,2.75,0,0,0,0,0,0,0,12.16,0,0
 48-58,0,0,0,0,3.94,0,1.56,0.46,0.43,2.73,0,1.91,0,0.38,0,44.08,0,1.1,0.39,0,0,0,0,0,0,16.12,0,10.45
 60-70,0,0,0,0,0,0,8.54,0,0.72,0,0,0,0,2.21,0,62.15,0,0,0,0,0,0,0,0,0,6.09,0,2.69
 72-82,0,0,0,0,0.71,0,5.58,0,0,0,0,0,0,4.48,0,80.46,0,0,0,0,0,0,0,0,0,10.78,0,0
 84-94,0,0,0,0,2.96,0.71,7.04,0,0,0,0,0,5.76,0.8,0,80.82,0,0,0,0,5.14,0,0,0,0,3.31,0,0
 96-106,0,0,0,0,0,0,3.36,1.13,0,0,0,0,0,0,0,77.47,0,0,0,0,0,0,0,0,0,4.14,0,0
108-118,0,0,0,0,2.52,0,8.01,0,0,0,0,0,0,2.18,0,107.84,0,0,4.45,0,0,0,0,0,0,2.39,1.49,0
120,0,0,0,0,5.32,0,2.7,0,0,0,0,0,0,5.14,0,130.51,0,0,0,0,0,0,0,0,0,15.97,0,0
