stage,mesenchyme,neural,olfactory,spinal_cord
 14-21,0,0,0,1.77
 36-46,0,1.52,0.72,0
 60-70,0.66,0,0,5.51
 72-82,0,0,2.25,0
108-118,0,0,0.96,0
